"","x"
"111","Herrle et al. (2004, 2015)"
"112","Pirrie, D., Marshall, J., Doyle, P., and Riccardi, A. 2004"
"113","Erbacher, J., Huber, B.T., Norris, R.D., Markey, M. 2001"
"114","HUBER, B.T., AND R. MARK LECKIE 2011"
"115","Li et al 2016"
"116","Mutterlose, J., Bornemann, A., and  Herrle, J. 2009"
"117","Price, G.D., and Grscke, D.R. 2002"
"118","Sprovieri et al. 2006"
"119","Bodin, S., Fiet, N., Godet, A., Matera, V., Westermann, S., Clment, A., Janssen, N.M., Stille, P., and Fsllmi, K.B. 2009"
"120","McArthur, J.M., Mutterlose, J., Price, G.D., Rawson, P.F., Ruffell, A., Thirlwall, M.F. 2004"
"121","Podlaha, O., Mutterlose, J. and Veizer, J. 1998"
"122","Mutterlose, J., Malkoc, M., Schouten, S., Damst, J.S.S., and Forster, A. 2010"
"123","Price, G., F_zy, I., Janssen, N., and Palfy, J. 2011"
"124","Zakharov, Y.D., Baraboshkin, E.Y., Weissert, H., Michailova, I.A., Smyshlyaeva, O.P., and Safronov, P.P. 2013"
"125","Mutterlose, J., Malkoc, M., Schouten, S., and Damst, J.S.S. 2012"
"126","McArthur, J.M., Janssen, N.M.M., Reboulet, S., Leng, M.J., Thirlwall, M.F., and van de Schootbrugge, B. 2007"
"127","Schootbrugge, B.V.D., Fsllmi, K.B., Bulot, L.G., and Burns, S.J. 2000"
"128","Lini 1994"
"129","Price, G.D., Ruffell, A.H., Jones, C.E., Kalin, R.M., and Mutterlose, J. 2000"
"130","Garcia 2008"
"131","Price, G., and Mutterlose, J. 2004"
"132","Haggerty, J. A. 1987"
"133","Ditchfield, P.W. 1997"
"134","Grscke, D., Gregory, P., Ruffel, A., Mutterlose, J., Baraboshkin, E. 2003"
"135","Sprovieri et al. 2007"
"136","Emmanuel & Renard 1993"
"137","Weissert & Channell 1989"
"138","Grabowski et al. 2019"
"139","Zak, K., Kostak, M., Man, O., Zakharov, V.A., Rogov, M.A., Pruner, P., Rohovec, J., Dzyuba, O.S., and Mazuch, M. 2011"
"140","Ullmann, C.V., Campbell, H.J., Frei, R., Korte, C. 2016"
"141","F_zy, I., Janssen, N., and Price, G. 2011"
"142","Dera, G., Brigaud, B., Monna, F., Laffont, R., Pucat, E., Deconinck, J.-F., Pellenard, P., Joachimski, M.M., and Durlet, C. 2011"
"143","Nunn, E.V., and Price, G.D. 2010"
"144","Brigaud et al. 2002"
"145","Coimbra, R., and Ol-riz, F. 2012"
"146","Coimbra, R., and Oloriz, F. 2012"
"147","Padden et al. 2002"
"148","Lathuiliere ,B., Carpentier, C.,Bartier,D.,Boullier,A.Elie,M.,Gaillard,C.,Gauthier-Lafaye,F.,Hantzpergue,P., Huault,V.,Lancelot,J.,Maes,P.,Malartre,F.Nori,L..Ruck-Mosser,R., and Werner, W. 2002"
"149","Ullmann, C.V., Campbell, H.J., Frei, R., Hesselbo, S.P., Pogge von Strandmann, P., Korte, C. 2013"
"150","Alberti, M., Fuersich, F. T., and Pandey, D. K. 2012"
"151","Price, G., and Sellwood, B. 1997"
"152","Alberti, M., Fuersich, F. T., Abdelhady, A. A., and Andersen, N. 2017"
"153","Nunn, E.V., Price, G.D., Hart, M.B., Page, K.N., and Leng, M.J. 2009"
"154","Wierzbowski, H. 2004"
"155","Brigaud, B., Pucat, E., Pellenard, P., Vincent, B., Joachimski, M.M. 2008"
"156","Price, G.D., Twitchett, R.J., Smale, C., and Marks, V. 2009"
"157","Wierzbowski, H. 2002"
"158","Benito, M.I., and Reolid, M. 2012"
"159","Carpentier, C., Martin-Garin, B., Lathuiliere, B., and Ferry, S. 2006"
"160","Padden, M. 2001"
"161","Rais et al. 2006"
"162","Rais et al. 2007"
"163","Louis-Schmid et al. 2007"
"164","Wierzbowski, H., Dembicz, K., and Praszkier, T. 2009"
"165","Louis-Schmid 2006"
"166","Price, G.D., and Page, K.N. 2008"
"167","Pellenard et al. 2014"
"168","Fuersich, F., Singh, I., Joachimski, M., Krumm, S., Schlirf, M., and Schlirf, S. 2005"
"169","Anderson, T.F., Popp, B.N., Williams, A.C., Ho, L.-Z., and Hudson, J.D. 1994"
"170","Bartolini et al. 2013"
"171","Brigaud, B., Durlet, C., Deconinck, J. F., Vincent, B., Puceat, E., Thierry, J., and Trouiller, A. 2009"
"172","Brigaud, B., Durlet, C., Deconinck, J.-F., Vincent, B., Pucat, E., Thierry, J., and Trouiller, A. 2009"
"173","Malchus, N., and Steuber, T. 2002"
"174","O'Doherty et al. 2006"
"175","Wierzbowski, H., and Joachimski, M. 2007"
"176","Price, G.D., and Teece, C. 2010"
"177","Sucheras-Marx et al. 2013"
"178","Jenkyns, H.C., Jones, C.E., Grscke, D.R., Hesselbo, S.P., and Parkinson, D.N. 2002"
"179","Gomez, J.J., Canales, M.L., Ureta, S., Antonio, Goy, A. 2009"
"180","Price, G.D. 2010"
"181","Metodiev, L., and Koleva-Rekalova, E. 2008"
"182","Sandoval et al. 2008"
"183","Sandoval et al. 2012"
"184","Gomez, J.J.,  Goy, A., Canales, M.L. 2008"
"185","Harazim, D., Schootbrugge, B.V.D., Sorichter, K., Fiebig, J., Weug, A., Suan, G., and Oschmann, W. 2012"
"186","Mcarthur, J., Donovan, D., Thirlwall, M., Fouke, B., and Mattey, D. 2000"
"187","Dera, G., Pucat, E., Pellenard, P., Neige, P., Delsate, D., Joachimski, M.M., Reisberg, L., and Martinez, M. 2009"
"188","Suan, G., Mattioli, E., Pittet, B., Lcuyer, C., Suchras-Marx, B., Duarte, L., Philippe, M., Reggiani, L., and Martineau, F. 2010"
"189","Li, Q., Mcarthur, J., and Atkinson, T. 2012"
"190","Schootbrugge, B.V.D., McArthur, J.M., Bailey, T.R., Rosenthal, Y., Wright, J.D., Miller, K.G. 2005"
"191","Bailey, T., Rosenthal, Y., Mcarthur, J., Schootbrugge, B.V.D., and Thirlwall, M. 2003"
"192","Rosales, I., Robles, S., and Quesada, S. 2004"
"193","Hesselbo et al. 2007"
"194","Suan, G., Mattioli, E., Pittet, B., Mailliot, S., and Lcuyer, C. 2008"
"195","Korte, C., and Hesselbo, S.P. 2011"
"196","Mettraux, M., Weissert, H., and Homewood, P. 1989"
"197","Oliviera et al. 2006"
"198","Teichert, B.M.A., Luppold F.W. 2013"
"199","Silva et al. 2011"
"200","Mercuzot et al. 2020"
"201","Armendariz, M., Rosales, I., Badenas, B., Aurell, M., Garcia-Ramos, J.C., and Pinuela, L. 2012"
