age,d13C,source,assigned.location,assigned.lat,assigned.lon,category,X,plng_PALEOMAP,plat_PALEOMAP,validtime_PALEOMAP,plng_MERDITH2021,plat_MERDITH2021,validtime_MERDITH2021,plng_CAO2024,plat_CAO2024,validtime_CAO2024,plng_TorsvikCocks2017,plat_TorsvikCocks2017,validtime_TorsvikCocks2017,MAT,GMST_Li22,GMST_PhanDA,GMST_PhanDA_hi,GMST_PhanDA_lo,temp_offset,temp_offset_PhanDA
0,1.56,"Farrell, John W; Janecek, Thomas R 1991",121-758,5.384,90.3612,Planktonic foraminifera,,90.3612,5.384,TRUE,90.3612,5.384,TRUE,90.3612,5.384,TRUE,90.3612,5.384,TRUE,0,0,NA,NA,NA,0,NA
0,2.2,"Ravelo, AC; Shackleton, NJ 1995",138-851,2.77,-110.572,Planktonic foraminifera,,-110.572,2.77,TRUE,-110.572,2.77,TRUE,-110.572,2.77,TRUE,-110.572,2.77,TRUE,0,0,NA,NA,NA,0,NA
0.000564,-0.8,Bickert et al. 1997,CearaRiseStack,5,-44,bf,,-43.99990588,5.000008941,FALSE,-43.99982072,4.999805423,TRUE,-43.99982072,4.999805423,TRUE,-43.99999711,4.999826583,TRUE,28.49306023,15.60981581,NA,NA,NA,12.88324442,NA
0.002689,0.43,Bickert et al. 1997,CearaRiseStack,5,-44,bf,,-43.99955124,5.00004263,FALSE,-43.99914527,4.999072299,TRUE,-43.99914527,4.999072299,TRUE,-43.99998623,4.999173196,TRUE,28.49267861,15.60953045,NA,NA,NA,12.88314815,NA
0.003099,-0.07,Bickert et al. 1997,CearaRiseStack,5,-44,bf,,-43.99948282,5.00004913,FALSE,-43.99901495,4.998930847,TRUE,-43.99901495,4.998930847,TRUE,-43.99998413,4.999047131,TRUE,28.49260497,15.60947539,NA,NA,NA,12.88312958,NA
0.004131,-1.22,Bickert et al. 1997,CearaRiseStack,5,-44,bf,,-43.99931059,5.000065492,FALSE,-43.99868693,4.9985748,TRUE,-43.99868693,4.9985748,TRUE,-43.99997884,4.998729815,TRUE,28.49241964,15.60933681,NA,NA,NA,12.88308283,NA
0.005134,0.23,Bickert et al. 1997,CearaRiseStack,5,-44,bf,,-43.9991432,5.000081394,FALSE,-43.99836812,4.998228755,TRUE,-43.99836812,4.998228755,TRUE,-43.99997371,4.998421416,TRUE,28.49223951,15.60920212,NA,NA,NA,12.88303739,NA
0.005617,-0.32,Bickert et al. 1997,CearaRiseStack,5,-44,bf,,-43.9990626,5.000089052,FALSE,-43.9982146,4.998062113,TRUE,-43.9982146,4.998062113,TRUE,-43.99997124,4.998272905,TRUE,28.49215277,15.60913726,NA,NA,NA,12.88301551,NA
0.005917,0.23,Bickert et al. 1997,CearaRiseStack,5,-44,bf,,-43.99901253,5.000093808,FALSE,-43.99811925,4.997958609,TRUE,-43.99811925,4.997958609,TRUE,-43.9999697,4.998180662,TRUE,28.49209889,15.60909698,13.99053264,14.54094755,12.96942061,12.88300192,14.50156625
0.007103,-0.52,Bickert et al. 1997,CearaRiseStack,5,-44,bf,,-43.9988146,5.000112612,FALSE,-43.99774228,4.997549419,TRUE,-43.99774228,4.997549419,TRUE,-43.99996363,4.997815995,TRUE,28.4918859,15.60893771,13.94363555,14.50444511,12.92438596,12.88294819,14.54825035
