age,d13C,source,assigned.location,assigned.lat,assigned.lon,category,X,plng_PALEOMAP,plat_PALEOMAP,validtime_PALEOMAP,plng_MERDITH2021,plat_MERDITH2021,validtime_MERDITH2021,plng_CAO2024,plat_CAO2024,validtime_CAO2024,plng_TorsvikCocks2017,plat_TorsvikCocks2017,validtime_TorsvikCocks2017,MAT,GMST_Li22,GMST_PhanDA,GMST_PhanDA_hi,GMST_PhanDA_lo,temp_offset,temp_offset_PhanDA
183.669129,2.5,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.797930054,30.11684839,TRUE,10.59193767,26.27799,TRUE,10.59193767,26.27799,TRUE,-19.24595968,32.97219529,TRUE,25.51017883,20.10518238,25.32029773,30.15123418,22.09707264,5.404996451,0.189881106
183.670941,2.5,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.797519613,30.11692996,TRUE,10.59161009,26.27779757,TRUE,10.59161009,26.27779757,TRUE,-19.24640647,32.97179369,TRUE,25.51005229,20.10510263,25.31984639,30.15145958,22.09661289,5.404949654,0.190205892
183.672753,2.43,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.797109171,30.11701153,TRUE,10.59128252,26.27760514,TRUE,10.59128252,26.27760514,TRUE,-19.24685326,32.97139208,TRUE,25.50992574,20.10502288,25.31939506,30.15168497,22.09615314,5.404902857,0.190530677
183.674565,2.29,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.796698726,30.1170931,TRUE,10.59095495,26.27741271,TRUE,10.59095495,26.27741271,TRUE,-19.24730004,32.97099046,TRUE,25.50979919,20.10494313,25.31894373,30.15191036,22.09569339,5.40485606,0.190855463
183.676376,2.25,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.796288505,30.11717461,TRUE,10.59062757,26.27722038,TRUE,10.59062757,26.27722038,TRUE,-19.24774657,32.97058907,TRUE,25.50967271,20.10486342,25.31849264,30.15213563,22.0952339,5.404809289,0.191180069
183.678188,2.24,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.795878055,30.11725617,TRUE,10.59030002,26.27702794,TRUE,10.59030002,26.27702794,TRUE,-19.24819333,32.97018744,TRUE,25.50954616,20.10478367,25.31804131,30.15236102,22.09477415,5.404762492,0.191504854
183.68,2.3,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.795467603,30.11733771,TRUE,10.58997246,26.2768355,TRUE,10.58997246,26.2768355,TRUE,-19.24864008,32.96978581,TRUE,25.50941962,20.10470392,25.31758998,30.15258641,22.0943144,5.404715695,0.19182964
183.681812,2.38,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.795057149,30.11741926,TRUE,10.58964491,26.27664305,TRUE,10.58964491,26.27664305,TRUE,-19.24908683,32.96938418,TRUE,25.50929307,20.10462417,25.31713864,30.1528118,22.09385465,5.404668898,0.192154425
183.683624,2.19,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.794646692,30.11750079,TRUE,10.58931737,26.2764506,TRUE,10.58931737,26.2764506,TRUE,-19.24953356,32.96898254,TRUE,25.50916652,20.10454442,25.31668731,30.15303719,22.0933949,5.404622101,0.192479211
183.685436,2.18,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.794236233,30.11758232,TRUE,10.58898983,26.27625815,TRUE,10.58898983,26.27625815,TRUE,-19.24998029,32.96858089,TRUE,25.50903997,20.10446467,25.31623598,30.15326258,22.09293515,5.404575304,0.192803996
