"parameter","form","max_Rhat","median_Rhat","min_ESS","median_ESS","n_Rhat_over_1.03","n_ESS_under_100","n_ESS_under_400"
"BWT","centered",1.00372259255714,1.00002960350595,1838.28929697445,24000,0,0,0
"d13CO2","centered",1.1592409333135,1.00245975431933,491.751670258921,2566.27715518248,12,0,0
"GMST","centered",1.07196188151588,1.00221934527203,681.394057630165,2995.39005034935,14,0,0
"BWT","first_difference",1.00052922841887,1.00004090170236,12607.9245892795,24000,0,0,0
"d13CO2","first_difference",1.01646369573147,1.00006201094251,7267.98579252422,22116.4800462095,0,0,0
"GMST","first_difference",1.00117587354556,1.00006688625171,11855.9364366215,21998.9015484004,0,0,0
"BWT","raw",1.00360467797134,1.00003618779286,1725.01022948255,24000,0,0,0
"d13CO2","raw",1.06198080420678,1.0005431215717,1329.79974107585,9232.35916084158,4,0,0
"GMST","raw",1.07575590635916,1.00190172791709,674.683807831927,2996.11467226769,15,0,0
