"parameter","median","lower","upper","Rhat","ESS"
"d13CO2_sigma",0.0999617643082556,0.099799835607307,0.0999986005309068,0.999950123863684,24000
"GMST_sigma",0.499614981280129,0.49794881314366,0.499986210177106,1.0002192016815,23870.113486815
"BWT_sigma",0.485719867013321,0.438034105756071,0.499457341286747,1.00024118565537,11824.7744917899
"cc_co2_constant1",12.0617839301153,11.8288042010581,12.2246200053599,1.00000997484574,24177.6263746104
"cc_co2_coeff1",0.139993424678884,0.139964679936911,0.139999726878766,1.0000546668316,23625.0441655813
"asd",1.01963593576541,0.627972514748635,1.40738410126348,1.00002608838156,23846.6667443126
"bpump",2.19529941696308,1.5985093198209,2.78333079777171,1.00022328068184,22413.5601337568
"remin",1.15943832433076,0.646449826555714,1.66327691112624,1.00006967058004,23660.3695504501
"f_co3",0.00310511739901644,0.000113152675741208,0.0159986205946466,1.00429886863029,409.71069930411
"f_carbacid",0.00476430951921012,0.000269028506179404,0.0137633529437596,1.0042127473184,982.659730363761
"Abf",4.3723228475359,3.70224735592099,5.02959399787196,1.00026810256217,11864.8503403124
"Asurf",1.01963593576541,0.627972514748635,1.40738410126348,1.00002608838156,23846.6667443126
"d13CO2_level",-7.52322723225078,-8.25234741087963,-6.59674692698849,1.30889121958971,62.327616754549
"bf.nsb_mean",0.38602019705779,-0.0583134168826203,0.82876128456021,0.999980325097956,24000
"pf.nsb_mean",-0.523455687893824,-0.834104863854485,-0.212945663352254,1.00020112276057,19762.5288995457
"brach.nsb_mean",0.181938271400895,-0.12530930302341,0.494086100781571,1.00016028673656,19776.3741698404
"bivalve.nsb_mean",-0.71014697008727,-1.01793527722682,-0.395921360032551,1.00016573960813,19866.8238526092
"amm.nsb_mean",1.6794429046627,1.36281051636973,1.99968336590676,1.00016355933966,20654.8035926051
"bel.nsb_mean",1.72528330275841,1.41709390701573,2.03886108100824,1.00021100584149,19628.0230089346
"micrite.nsb_mean",-0.319001360277919,-0.670423938283384,0.0386066049228233,1.00000994933274,16016.3611212385
"bulk.nsb_mean",0.481568569329289,0.173675481496135,0.793537452490819,1.00015488844402,19691.5159422179
"bulk_sr.nsb_mean",1.43807770273349,1.01640984259379,1.87320085225109,1.00019872042116,17605.7780184148
"bulk_marg.nsb_mean",0.816450214020996,0.507930656287771,1.13036791263204,1.00016690329519,19795.014832866
"bf.nsb_tau",991203.401556524,927117.543490103,1068858.75640115,1.12339567142196,124.691314382412
"pf.nsb_tau",991008.888278904,934806.184345241,1048457.67174366,1.06762048615363,138.217903474032
"brach.nsb_tau",991580.40556638,937607.111910811,1051124.58413558,1.02596967653166,252.151604775208
"bivalve.nsb_tau",999017.452240411,945556.601316637,1057587.21138375,1.04556628632903,132.439890597627
"amm.nsb_tau",996467.557841188,935915.1107599,1057418.61370123,1.04847738254455,227.775252237486
"bel.nsb_tau",997549.795111381,941335.376296985,1061403.3780739,1.03922258710924,141.426633340578
"micrite.nsb_tau",1001617.65649413,933277.644265884,1069629.54976468,1.02220822930134,124.351836040532
"bulk.nsb_tau",1004498.45984162,942325.056994394,1064519.78272498,1.06529140475241,96.2616641018845
"bulk_sr.nsb_tau",1004573.47778074,948171.085621358,1073056.62609082,1.18524711686367,77.2375040927001
"bulk_marg.nsb_tau",999113.154738852,940153.431360455,1066265.63016291,1.02319017791404,285.214889246958
"bf.archive_level",-12.3230737369385,-12.7406423298869,-11.4798847973083,1.66463866990373,22.693310556878
"pf.archive_level",3.99837910671343,3.59579558924934,4.84843221996316,1.72023678828308,13.2069225330849
"brach.archive_level",3.2941989115506,2.89051185773763,4.14086084814066,1.71611166810445,15.9938682080748
"bivalve.archive_level",4.18614622849687,3.78127511106095,5.03306249091697,1.71465257385773,16.4162425489644
"amm.archive_level",1.79664247199109,1.38224291539363,2.64675206405143,1.69409937026125,16.6170095709805
"bel.archive_level",1.75178664007233,1.34508653358183,2.60083347680589,1.71420059150968,15.8082517494805
"micrite.archive_level",3.81386275660327,3.27226333587212,4.6601166516832,1.49531732787311,33.9810793064033
"bulk.archive_level",2.99493052652724,2.58971678553924,3.84494963924154,1.71711456711469,15.425680358104
"bulk_sr.archive_level",2.05344278343311,1.50708834592123,2.90399816319612,1.48355659856077,37.5044890930517
"bulk_marg.archive_level",2.65907118429039,2.25475093029778,3.50357491920396,1.71235487711506,15.3334975796583
