"run.profile","parameter","form","max_Rhat","median_Rhat","min_ESS","median_ESS","n_Rhat_over_1.03","n_ESS_under_100","n_ESS_under_400"
"main","BWT","centered",1.00357123685445,1.00005604170986,1826.59248079558,23952.355652876,0,0,0
"main","d13CO2","centered",1.2293830555962,1.00178548102383,768.054650792442,2535.30650232924,16,0,0
"main","GMST","centered",1.10641320494399,1.00183624715947,711.984611026128,2915.44275796221,18,0,0
"main","BWT","first_difference",1.00043073161625,1.00003416016032,12785.0349978634,24000,0,0,0
"main","d13CO2","first_difference",1.02353285945422,1.00006537986247,6987.46073200855,22068.2159599626,0,0,0
"main","GMST","first_difference",1.00207354251705,1.00007051916346,12503.7803732776,22148.7527497196,0,0,0
"main","BWT","raw",1.00414181491649,1.0000576633671,1690.37762959377,24000,0,0,0
"main","d13CO2","raw",1.09124148291017,1.00021285235525,2633.65681895892,9527.77615867968,7,0,0
"main","GMST","raw",1.10949829134187,1.00134355092267,664.909157978173,2917.54285977065,18,0,0
"gmst_scotese","BWT","centered",1.00403452611965,1.00003483245989,1320.2179570774,23883.1707349775,0,0,0
"gmst_scotese","d13CO2","centered",1.22859880928571,1.00191411102846,432.099595831024,2203.21058472458,10,0,0
"gmst_scotese","GMST","centered",1.07094750822241,1.00211868338808,571.249510458287,2036.84509662822,11,0,0
"gmst_scotese","BWT","first_difference",1.0005411021354,1.00003970766018,12181.1351828856,24000,0,0,0
"gmst_scotese","d13CO2","first_difference",1.03414295530134,1.00007515366181,7300.45820756156,21870.7867994793,1,0,0
"gmst_scotese","GMST","first_difference",1.00141152552422,1.00007139977581,11724.6035981455,21746.6305448607,0,0,0
"gmst_scotese","BWT","raw",1.00390752585654,1.00003586989922,1274.63037817201,24000,0,0,0
"gmst_scotese","d13CO2","raw",1.08147502097686,1.00032058213274,2398.99569821359,6659.55484237165,4,0,0
"gmst_scotese","GMST","raw",1.07233381023292,1.00200609663218,528.894641275193,1942.44189817914,11,0,0
"plate_torsvik2017","BWT","centered",1.00165187604926,1.00003815654528,1771.89717564646,23982.1265252657,0,0,0
"plate_torsvik2017","d13CO2","centered",1.1855562807607,1.00163466527748,784.646136770736,2576.24088996072,11,0,0
"plate_torsvik2017","GMST","centered",1.06375491684142,1.00143178181199,784.87560811257,3087.68163795153,13,0,0
"plate_torsvik2017","BWT","first_difference",1.00062844444889,1.00004087269437,12406.1150748715,24000,0,0,0
"plate_torsvik2017","d13CO2","first_difference",1.02595001819518,1.00006893840959,6971.76971449258,22192.9165421004,0,0,0
"plate_torsvik2017","GMST","first_difference",1.00109618484645,1.00007161301536,12395.9367699093,22022.1920729471,0,0,0
"plate_torsvik2017","BWT","raw",1.00184500032447,1.00004369980658,1662.60060730725,24000,0,0,0
"plate_torsvik2017","d13CO2","raw",1.06978241308654,1.00034987635108,2240.11291768153,10465.2366504836,3,0,0
"plate_torsvik2017","GMST","raw",1.06357639247571,1.00110319328633,727.60950423772,3028.08789124108,13,0,0
"plate_merdith2021","BWT","centered",1.00372259255714,1.00002960350595,1838.28929697445,24000,0,0,0
"plate_merdith2021","d13CO2","centered",1.1592409333135,1.00245975431933,491.751670258921,2566.27715518248,12,0,0
"plate_merdith2021","GMST","centered",1.07196188151588,1.00221934527203,681.394057630165,2995.39005034935,14,0,0
"plate_merdith2021","BWT","first_difference",1.00052922841887,1.00004090170236,12607.9245892795,24000,0,0,0
"plate_merdith2021","d13CO2","first_difference",1.01646369573147,1.00006201094251,7267.98579252422,22116.4800462095,0,0,0
"plate_merdith2021","GMST","first_difference",1.00117587354556,1.00006688625171,11855.9364366215,21998.9015484004,0,0,0
"plate_merdith2021","BWT","raw",1.00360467797134,1.00003618779286,1725.01022948255,24000,0,0,0
"plate_merdith2021","d13CO2","raw",1.06198080420678,1.0005431215717,1329.79974107585,9232.35916084158,4,0,0
"plate_merdith2021","GMST","raw",1.07575590635916,1.00190172791709,674.683807831927,2996.11467226769,15,0,0
"plate_cao2024","BWT","centered",1.00400866539457,1.00004980500819,1690.84185768262,23895.7994492463,0,0,0
"plate_cao2024","d13CO2","centered",1.28070993408989,1.00184828024692,575.572836005187,2450.21179288798,15,0,0
"plate_cao2024","GMST","centered",1.11272950592418,1.0019455496834,743.213721152213,3005.62447110191,17,0,0
"plate_cao2024","BWT","first_difference",1.00046387247833,1.0000370943108,12591.4066481491,24000,0,0,0
"plate_cao2024","d13CO2","first_difference",1.03677123168824,1.00006747160482,7103.60953945763,22220.9532841015,1,0,0
"plate_cao2024","GMST","first_difference",1.0018628713158,1.00008262940218,12729.7545930847,22115.0184822662,0,0,0
"plate_cao2024","BWT","raw",1.00417735474026,1.00004671907042,1669.17962949102,24000,0,0,0
"plate_cao2024","d13CO2","raw",1.11099502346817,1.00067443702181,1951.41700562326,9250.78888153168,6,0,0
"plate_cao2024","GMST","raw",1.11653928803243,1.00144030867589,708.74650038867,2893.20379516941,17,0,0
"cenozoic","BWT","centered",1.01733066067157,1.00012445694399,1294.54696514929,15269.8950080003,0,0,0
"cenozoic","d13CO2","centered",1.043629710284,1.00009849315812,309.239837015857,17204.6124194966,2,0,1
"cenozoic","GMST","centered",1.00431603179555,1.00008873546385,8071.91671850286,18380.7425769381,0,0,0
"cenozoic","BWT","first_difference",1.00057552055583,1.00003619612089,21787.0992175474,24000,0,0,0
"cenozoic","d13CO2","first_difference",1.00443064634891,1.00003570936842,6347.18019279559,24000,0,0,0
"cenozoic","GMST","first_difference",1.00044398009337,1.00003479358859,22345.5312678655,24000,0,0,0
"cenozoic","BWT","raw",1.01745866400003,1.00012801242939,1312.66077695151,15033.1513300561,0,0,0
"cenozoic","d13CO2","raw",1.00187698860778,0.999949612724414,22363.0833238115,23658.4630211518,0,0,0
"cenozoic","GMST","raw",1.00456745652293,1.0000829094325,8109.74030685022,17856.7647675991,0,0,0
"coupled","BWT","centered",1.00219270194491,1.00004257971237,1816.54124489167,23932.7808287675,0,0,0
"coupled","d13CO2","centered",1.35262494489107,1.00162858113874,841.634434404638,2475.29296369352,17,0,0
"coupled","GMST","centered",1.14416027647462,1.00191125940477,776.126098888994,3072.59216902119,18,0,0
"coupled","BWT","first_difference",1.00063194180945,1.000034723512,12198.1376533511,24000,0,0,0
"coupled","d13CO2","first_difference",1.0557126503712,1.00006807451773,7264.35596410966,22101.4747483543,2,0,0
"coupled","GMST","first_difference",1.00293736644837,1.00006195123292,13505.3687946023,22118.6307991212,0,0,0
"coupled","BWT","raw",1.00228860276082,1.00004287235,1716.14786120712,24000,0,0,0
"coupled","d13CO2","raw",1.16736591791495,1.00023662639156,2187.60020994544,9584.56054705245,10,0,0
"coupled","GMST","raw",1.14919429040224,1.00146185801334,767.61688654479,3030.1561832365,19,0,0
