"parameter","form","max_Rhat","median_Rhat","min_ESS","median_ESS","n_Rhat_over_1.03","n_ESS_under_100","n_ESS_under_400"
"BWT","centered",1.00219270194491,1.00004257971237,1816.54124489167,23932.7808287675,0,0,0
"d13CO2","centered",1.35262494489107,1.00162858113874,841.634434404638,2475.29296369352,17,0,0
"GMST","centered",1.14416027647462,1.00191125940477,776.126098888994,3072.59216902119,18,0,0
"BWT","first_difference",1.00063194180945,1.000034723512,12198.1376533511,24000,0,0,0
"d13CO2","first_difference",1.0557126503712,1.00006807451773,7264.35596410966,22101.4747483543,2,0,0
"GMST","first_difference",1.00293736644837,1.00006195123292,13505.3687946023,22118.6307991212,0,0,0
"BWT","raw",1.00228860276082,1.00004287235,1716.14786120712,24000,0,0,0
"d13CO2","raw",1.16736591791495,1.00023662639156,2187.60020994544,9584.56054705245,10,0,0
"GMST","raw",1.14919429040224,1.00146185801334,767.61688654479,3030.1561832365,19,0,0
