"parameter","form","time.index","Rhat","ESS"
"d13CO2","raw",1,1.06978241308654,2240.11291768153
"d13CO2","raw",2,1.05019268148736,2619.6707465529
"d13CO2","raw",3,1.03828683174179,2817.28595243225
"d13CO2","raw",4,1.02995110644183,2825.05141221452
"d13CO2","raw",5,1.02331643490119,3556.11190081375
"d13CO2","raw",6,1.01948091268983,3165.22313643495
"d13CO2","raw",7,1.01604286797336,3187.36577381587
"d13CO2","raw",8,1.01381654726742,2937.52275578787
"d13CO2","raw",9,1.01163581117095,3027.20633509017
"d13CO2","raw",10,1.01039450123425,3120.93992981826
"d13CO2","raw",11,1.00912732107103,2904.16916117279
"d13CO2","raw",12,1.00834979398291,2977.70158407887
"d13CO2","raw",13,1.00766260265262,2657.87422717604
"d13CO2","raw",14,1.00695722953784,2526.54417864666
"d13CO2","raw",15,1.00655061945942,2693.63096089125
"d13CO2","raw",16,1.00581627515685,2784.67018253579
"d13CO2","raw",17,1.00494661342485,2725.13502941807
"d13CO2","raw",18,1.00426216728098,2772.5029686255
"d13CO2","raw",19,1.00368846960045,2844.57239806787
"d13CO2","raw",20,1.0031116685516,3069.82167530907
"d13CO2","raw",21,1.00268818983055,3476.42219251662
"d13CO2","raw",22,1.00250911247562,3837.50626229272
"d13CO2","raw",23,1.00228885005695,4019.84846052814
"d13CO2","raw",24,1.00186674738247,4279.70609889424
"d13CO2","raw",25,1.00171549613574,4376.95928249522
"d13CO2","raw",26,1.00142040526745,4727.65990404202
"d13CO2","raw",27,1.00118607873438,5086.6534989716
"d13CO2","raw",28,1.0009219539518,5234.51917067077
"d13CO2","raw",29,1.00075720810365,5583.30642233363
"d13CO2","raw",30,1.00079803475539,5904.26107208074
"d13CO2","raw",31,1.00060080357314,6132.70488286091
"d13CO2","raw",32,1.00057071231521,6441.98236906313
"d13CO2","raw",33,1.00044588014411,6592.61569269941
"d13CO2","raw",34,1.00041512539116,6537.56854936145
"d13CO2","raw",35,1.0003556081946,6865.42572897169
"d13CO2","raw",36,1.00028502092541,7349.1798968728
"d13CO2","raw",37,1.00027926897803,7297.97000847917
"d13CO2","raw",38,1.00035368432644,7375.10541811148
"d13CO2","raw",39,1.00032836631843,8326.52758380864
"d13CO2","raw",40,1.00032650637015,8247.70209659063
"d13CO2","raw",41,1.00030511048949,7977.67824830959
"d13CO2","raw",42,1.00025117317138,8051.42589709061
"d13CO2","raw",43,1.00024917348407,7723.0479933804
"d13CO2","raw",44,1.00031680784565,7476.80532364605
"d13CO2","raw",45,1.00024355990881,7427.07055842345
"d13CO2","raw",46,1.00025070997738,7423.24293622215
"d13CO2","raw",47,1.00028617456975,7597.96429893933
"d13CO2","raw",48,1.00015471815133,7918.01023504953
"d13CO2","raw",49,1.00019570877806,7709.34516243982
"d13CO2","raw",50,1.00022126063509,7907.73676493939
"d13CO2","raw",51,1.00008420473846,7923.6384054752
"d13CO2","raw",52,1.00010821259144,8202.55732212115
"d13CO2","raw",53,1.00013952293971,8354.49136449566
"d13CO2","raw",54,1.00004560537489,8733.1031830737
"d13CO2","raw",55,1.0000879744339,9094.93411708963
"d13CO2","raw",56,1.00009040173955,9056.72668030536
"d13CO2","raw",57,1.00008303006445,9078.81209931903
"d13CO2","raw",58,1.00007373232227,9304.31342567184
"d13CO2","raw",59,0.999984914430784,9554.72437321878
"d13CO2","raw",60,0.999967613991259,9710.45658305619
"d13CO2","raw",61,0.999968047196374,9946.30108076801
"d13CO2","raw",62,0.999955870094298,10763.83073337
"d13CO2","raw",63,1.00006242098835,10766.5065572026
"d13CO2","raw",64,1.0000119119799,10725.7977998636
"d13CO2","raw",65,1.0000228146743,10575.3940756854
"d13CO2","raw",66,1.00000253176783,10198.006937951
"d13CO2","raw",67,1.00005689153505,9970.3898967024
"d13CO2","raw",68,1.00002411589436,10093.8424416483
"d13CO2","raw",69,1.00004343610444,9647.46056573022
"d13CO2","raw",70,1.00008610110914,9628.49541232931
"d13CO2","raw",71,1.00010048988723,9823.02728987164
"d13CO2","raw",72,1.00013384392318,10065.9661541477
"d13CO2","raw",73,1.0001119421313,10456.1840407612
"d13CO2","raw",74,1.00011768461637,10843.775133738
"d13CO2","raw",75,1.00015037892291,10484.9453932556
"d13CO2","raw",76,1.00019528149111,10626.2230378992
"d13CO2","raw",77,1.00012757240158,11364.7271346199
"d13CO2","raw",78,1.00021724436856,11634.6602108629
