"parameter","form","max_Rhat","median_Rhat","min_ESS","median_ESS","n_Rhat_over_1.03","n_ESS_under_100","n_ESS_under_400"
"BWT","centered",1.00403452611965,1.00003483245989,1320.2179570774,23883.1707349775,0,0,0
"d13CO2","centered",1.22859880928571,1.00191411102846,432.099595831024,2203.21058472458,10,0,0
"GMST","centered",1.07094750822241,1.00211868338808,571.249510458287,2036.84509662822,11,0,0
"BWT","first_difference",1.0005411021354,1.00003970766018,12181.1351828856,24000,0,0,0
"d13CO2","first_difference",1.03414295530134,1.00007515366181,7300.45820756156,21870.7867994793,1,0,0
"GMST","first_difference",1.00141152552422,1.00007139977581,11724.6035981455,21746.6305448607,0,0,0
"BWT","raw",1.00390752585654,1.00003586989922,1274.63037817201,24000,0,0,0
"d13CO2","raw",1.08147502097686,1.00032058213274,2398.99569821359,6659.55484237165,4,0,0
"GMST","raw",1.07233381023292,1.00200609663218,528.894641275193,1942.44189817914,11,0,0
