"parameter","form","max_Rhat","median_Rhat","min_ESS","median_ESS","n_Rhat_over_1.03","n_ESS_under_100","n_ESS_under_400"
"BWT","centered",1.01733066067157,1.00012445694399,1294.54696514929,15269.8950080003,0,0,0
"d13CO2","centered",1.043629710284,1.00009849315812,309.239837015857,17204.6124194966,2,0,1
"GMST","centered",1.00431603179555,1.00008873546385,8071.91671850286,18380.7425769381,0,0,0
"BWT","first_difference",1.00057552055583,1.00003619612089,21787.0992175474,24000,0,0,0
"d13CO2","first_difference",1.00443064634891,1.00003570936842,6347.18019279559,24000,0,0,0
"GMST","first_difference",1.00044398009337,1.00003479358859,22345.5312678655,24000,0,0,0
"BWT","raw",1.01745866400003,1.00012801242939,1312.66077695151,15033.1513300561,0,0,0
"d13CO2","raw",1.00187698860778,0.999949612724414,22363.0833238115,23658.4630211518,0,0,0
"GMST","raw",1.00456745652293,1.0000829094325,8109.74030685022,17856.7647675991,0,0,0
