"parameter","form","max_Rhat","median_Rhat","min_ESS","median_ESS","n_Rhat_over_1.03","n_ESS_under_100","n_ESS_under_400"
"BWT","centered",1.00400866539457,1.00004980500819,1690.84185768262,23895.7994492463,0,0,0
"d13CO2","centered",1.28070993408989,1.00184828024692,575.572836005187,2450.21179288798,15,0,0
"GMST","centered",1.11272950592418,1.0019455496834,743.213721152213,3005.62447110191,17,0,0
"BWT","first_difference",1.00046387247833,1.0000370943108,12591.4066481491,24000,0,0,0
"d13CO2","first_difference",1.03677123168824,1.00006747160482,7103.60953945763,22220.9532841015,1,0,0
"GMST","first_difference",1.0018628713158,1.00008262940218,12729.7545930847,22115.0184822662,0,0,0
"BWT","raw",1.00417735474026,1.00004671907042,1669.17962949102,24000,0,0,0
"d13CO2","raw",1.11099502346817,1.00067443702181,1951.41700562326,9250.78888153168,6,0,0
"GMST","raw",1.11653928803243,1.00144030867589,708.74650038867,2893.20379516941,17,0,0
