"parameter","form","max_Rhat","median_Rhat","min_ESS","median_ESS","n_Rhat_over_1.03","n_ESS_under_100","n_ESS_under_400"
"BWT","centered",1.00165187604926,1.00003815654528,1771.89717564646,23982.1265252657,0,0,0
"d13CO2","centered",1.1855562807607,1.00163466527748,784.646136770736,2576.24088996072,11,0,0
"GMST","centered",1.06375491684142,1.00143178181199,784.87560811257,3087.68163795153,13,0,0
"BWT","first_difference",1.00062844444889,1.00004087269437,12406.1150748715,24000,0,0,0
"d13CO2","first_difference",1.02595001819518,1.00006893840959,6971.76971449258,22192.9165421004,0,0,0
"GMST","first_difference",1.00109618484645,1.00007161301536,12395.9367699093,22022.1920729471,0,0,0
"BWT","raw",1.00184500032447,1.00004369980658,1662.60060730725,24000,0,0,0
"d13CO2","raw",1.06978241308654,1.00034987635108,2240.11291768153,10465.2366504836,3,0,0
"GMST","raw",1.06357639247571,1.00110319328633,727.60950423772,3028.08789124108,13,0,0
