"parameter","form","max_Rhat","median_Rhat","min_ESS","median_ESS","n_Rhat_over_1.03","n_ESS_under_100","n_ESS_under_400"
"BWT","centered",1.00357123685445,1.00005604170986,1826.59248079558,23952.355652876,0,0,0
"d13CO2","centered",1.2293830555962,1.00178548102383,768.054650792442,2535.30650232924,16,0,0
"GMST","centered",1.10641320494399,1.00183624715947,711.984611026128,2915.44275796221,18,0,0
"BWT","first_difference",1.00043073161625,1.00003416016032,12785.0349978634,24000,0,0,0
"d13CO2","first_difference",1.02353285945422,1.00006537986247,6987.46073200855,22068.2159599626,0,0,0
"GMST","first_difference",1.00207354251705,1.00007051916346,12503.7803732776,22148.7527497196,0,0,0
"BWT","raw",1.00414181491649,1.0000576633671,1690.37762959377,24000,0,0,0
"d13CO2","raw",1.09124148291017,1.00021285235525,2633.65681895892,9527.77615867968,7,0,0
"GMST","raw",1.10949829134187,1.00134355092267,664.909157978173,2917.54285977065,18,0,0
