"","ages","d13Ca"
"1",548300,-8.36511268248507
"2",547300,-8.38322959154481
"3",546300,-8.37452684079102
"4",545300,-8.36540622784982
"5",544300,-8.3628502316679
"6",543300,-8.36887796986775
"7",542300,-8.36319421213428
"8",541300,-8.36850650615601
"9",540300,-8.36479138803364
"10",539300,-8.35921335583966
"11",538300,-8.37162013929476
"12",537300,-8.47429793289421
"13",536300,-8.36559364122588
"14",535300,-8.19609222849024
"15",534300,-7.91132248651114
"16",533300,-7.47712337481295
"17",532300,-7.05843302355042
"18",531300,-7.0375405478724
"19",530300,-7.13565852876633
"20",529300,-6.9435780071562
"21",528300,-6.55247711842736
"22",527300,-6.48293073014741
"23",526300,-6.62849777613462
"24",525300,-7.07009100250632
"25",524300,-7.75352361651956
"26",523300,-8.11179653204371
"27",522300,-8.25884688304563
"28",521300,-8.25111911862611
"29",520300,-7.97886079640225
"30",519300,-7.74340053328336
"31",518300,-7.67685603264215
"32",517300,-7.70077088681367
"33",516300,-7.62676450992457
"34",515300,-7.40892086436532
"35",514300,-7.01450579916629
"36",513300,-6.75165086649417
"37",512300,-6.81002703682593
"38",511300,-7.01773470937207
"39",510300,-7.12898568905472
"40",509300,-7.24116023763084
"41",508300,-7.1498069288402
"42",507300,-7.08356142936519
"43",506300,-7.124726191214
"44",505300,-7.21754504343344
"45",504300,-7.23023505348008
"46",503300,-7.09032695658007
"47",502300,-7.02258411499029
"48",501300,-6.85907781130942
"49",500300,-6.68839959578916
"50",499300,-6.46252283037852
"51",498300,-6.17921122509862
"52",497300,-5.86067272163048
"53",496300,-5.53265259951338
"54",495300,-5.34626400831343
"55",494300,-5.44710211732815
"56",493300,-5.76435831834192
"57",492300,-6.12284140689166
"58",491300,-6.42286642741162
"59",490300,-6.55433333388169
"60",489300,-6.54771326080262
"61",488300,-6.52240443498336
"62",487300,-6.53884661371039
"63",486300,-6.69814914262822
"64",485300,-6.84942175184903
"65",484300,-6.99177480400134
"66",483300,-7.1197845170783
"67",482300,-7.24124587782689
"68",481300,-7.44628038121571
"69",480300,-7.64246604397066
"70",479300,-7.80661982065786
"71",478300,-7.99592938051664
"72",477300,-8.28539170700801
"73",476300,-8.36721797068396
"74",475300,-8.31759197988907
"75",474300,-8.26427773215016
"76",473300,-8.2066579864722
"77",472300,-8.15685914120047
"78",471300,-8.14188129529683
"79",470300,-8.15509079429058
"80",469300,-8.01405991185115
"81",468300,-7.84163859283154
"82",467300,-7.70943692963541
"83",466300,-7.59193197043925
"84",465300,-7.52233003386741
"85",464300,-7.52572271842063
"86",463300,-7.42385839959406
"87",462300,-7.46125559325931
"88",461300,-7.47546995467582
"89",460300,-7.37093803722025
"90",459300,-7.31303609988027
"91",458300,-7.32189184442965
"92",457300,-7.37789947723015
"93",456300,-7.46926660958833
"94",455300,-7.48314753562998
"95",454300,-7.33929073403865
"96",453300,-7.27453841657714
"97",452300,-7.20324073617988
"98",451300,-7.22099576631422
"99",450300,-7.18890129564572
"100",449300,-7.1629918830936
"101",448300,-7.05688802958858
"102",447300,-7.01987909964097
"103",446300,-6.85150306048682
"104",445300,-6.2852047167556
"105",444300,-5.64266537448979
"106",443300,-5.75488552127596
"107",442300,-6.05129751911108
"108",441300,-6.20132023809941
"109",440300,-6.21467935604074
"110",439300,-6.24099138034298
"111",438300,-6.2164722915235
"112",437300,-6.2186938199643
"113",436300,-6.15406848444033
"114",435300,-6.17858464776139
"115",434300,-6.16250455733511
"116",433300,-6.11176288402408
"117",432300,-5.94149518759581
"118",431300,-6.62576815089342
"119",430300,-6.99672348061763
"120",429300,-7.21936563780734
"121",428300,-7.01729957880507
"122",427300,-6.85730469351205
"123",426300,-6.77706854740105
"124",425300,-6.52425854832491
"125",424300,-6.20610415988932
"126",423300,-5.82872153799449
"127",422300,-6.84402212517056
"128",421300,-7.14543752092916
"129",420300,-7.15897909158689
"130",419300,-7.0956199219887
"131",418300,-7.26971822996351
"132",417300,-7.56175491687133
"133",416300,-7.78751709288819
"134",415300,-7.81650345735839
"135",414300,-7.73577572559865
"136",413300,-7.66391004278311
"137",412300,-7.639549989336
"138",411300,-7.62309660241809
