"","ages","d13Ca"
"139",410300,-7.65238407128042
"140",409300,-7.73652450162005
"141",408300,-7.89752547471358
"142",407300,-8.07917287772312
"143",406300,-8.24861173637147
"144",405300,-8.36544434404214
"145",404300,-8.43845657782157
"146",403300,-8.49162211230669
"147",402300,-8.52356326347553
"148",401300,-8.54244857159203
"149",400300,-8.55715996002103
"150",399300,-8.6603824073993
"151",398300,-8.45106537801993
"152",397300,-8.25043487753433
"153",396300,-8.02442121476874
"154",395300,-7.87822789095277
"155",394300,-7.66202763701579
"156",393300,-7.68005610914895
"157",392300,-7.5693992872437
"158",391300,-7.33724380968985
"159",390300,-7.24727168042685
"160",389300,-7.24972947639998
"161",388300,-7.17581448489167
"162",387300,-7.17703518362342
"163",386300,-7.13893802698779
"164",385300,-7.06334212231392
"165",384300,-6.93971655785747
"166",383300,-7.04708584274302
"167",382300,-7.16620763592902
"168",381300,-7.40432474314542
"169",380300,-7.5309689396958
"170",379300,-7.49634508423661
"171",378300,-7.48453560402292
"172",377300,-7.44714673239593
"173",376300,-7.38173190235885
"174",375300,-7.26011305612909
"175",374300,-7.25980948676936
"176",373300,-7.11594442226671
"177",372300,-6.78836764555562
"178",371300,-6.55449414222082
"179",370300,-6.31882780329188
"180",369300,-6.25792738575096
"181",368300,-6.24789649419613
"182",367300,-6.24049129401162
"183",366300,-6.11734937596864
"184",365300,-5.99980114873883
"185",364300,-5.93982463629915
"186",363300,-5.91285767066758
"187",362300,-5.86797183744405
"188",361300,-5.79518053294138
"189",360300,-5.69172113775325
"190",359300,-5.41286597029029
"191",358300,-5.429360076689
"192",357300,-5.39285981235366
"193",356300,-5.40296047107376
"194",355300,-5.32628608767259
"195",354300,-5.3428123132482
"196",353300,-5.72686407227483
"197",352300,-5.97760557374021
"198",351300,-6.11461276661708
"199",350300,-6.35090261244065
"200",349300,-6.20165023681157
"201",348300,-6.21064270474681
"202",347300,-6.45998774350887
"203",346300,-6.69432316403219
"204",345300,-6.82756187184014
"205",344300,-6.85868119769901
"206",343300,-6.84731993770687
"207",342300,-6.77761624368525
"208",341300,-6.64621213665563
"209",340300,-6.52569822020815
"210",339300,-6.36079114594505
"211",338300,-6.48150602013009
"212",337300,-6.56993660107936
"213",336300,-6.49622255570088
"214",335300,-7.14164149508962
"215",334300,-7.30524908361592
"216",333300,-7.329258765045
"217",332300,-7.15225002342522
"218",331300,-7.11148686189843
"219",330300,-7.11006933028719
"220",329300,-6.880905431742
"221",328300,-6.76780701803247
"222",327300,-6.85032596287959
"223",326300,-7.12993956318853
"224",325300,-7.42820862691376
"225",324300,-7.26963944333552
"226",323300,-6.62995871639253
"227",322300,-6.03174332468633
"228",321300,-5.80804555387032
"229",320300,-5.67318914209998
"230",319300,-5.45276859395865
"231",318300,-5.28059539330957
"232",317300,-5.15033473256468
"233",316300,-5.05685208503968
"234",315300,-4.79821750127026
"235",314300,-4.94278742634429
"236",313300,-4.90397463498627
"237",312300,-4.62134551587833
"238",311300,-4.56049350844991
"239",310300,-4.577551254978
"240",309300,-4.53852048601836
"241",308300,-4.32313631246436
"242",307300,-4.33616623717471
"243",306300,-4.66591159639587
"244",305300,-4.78014749035308
"245",304300,-4.74615170908061
"246",303300,-4.74104544046515
"247",302300,-4.6191700600131
"248",301300,-4.44372813162417
"249",300300,-4.40600199852029
"250",299300,-4.0381828549478
"251",298300,-3.89974323695967
"252",297300,-3.81464841026977
"253",296300,-3.68445297355863
"254",295300,-3.85020073981385
"255",294300,-3.95480724145538
"256",293300,-4.02372328237277
"257",292300,-4.14464818296364
"258",291300,-4.26043365212306
"259",290300,-4.21255202251673
"260",289300,-4.27722830311606
"261",288300,-4.48295562884103
"262",287300,-4.3515998303629
"263",286300,-4.56161630250688
"264",285300,-5.02700627132955
"265",284300,-4.64439614168896
"266",283300,-4.51641151548422
"267",282300,-4.46453080370371
"268",281300,-4.40655576101799
"269",280300,-4.49298390341869
"270",279300,-4.38473181528458
"271",278300,-3.97426185923249
"272",277300,-4.0918120922449
"273",276300,-4.22593049202916
"274",275300,-4.26357298286357
"275",274300,-4.28523389827849
"276",273300,-4.35363599708079
"277",272300,-4.56343912265975
"278",271300,-4.97410574045511
"279",270300,-4.88006726702991
"280",269300,-4.91125949749146
"281",268300,-4.69671175830914
"282",267300,-4.32339190832941
"283",266300,-4.37241797177855
"284",265300,-4.43041416358538
"285",264300,-4.53532897765131
"286",263300,-4.55299672226805
"287",262300,-4.66675626447146
"288",261300,-5.15359086146578
"289",260300,-5.10798559013905
"290",259300,-4.85092477203785
"291",258300,-4.67814810883059
"292",257300,-4.5330983808208
"293",256300,-4.60772261350621
"294",255300,-4.64901812499729
"295",254300,-4.77481122530973
"296",253300,-4.92996700009668
"297",252300,-5.20188441348941
"298",251300,-5.61453353479958
"299",250300,-5.77229369454351
"300",249300,-6.21806061282347
"301",248300,-6.41898945963757
"302",247300,-6.06684188543566
"303",246300,-5.64306389195305
"304",245300,-5.81376805619378
"305",244300,-6.13621001745418
"306",243300,-6.25058345222034
"307",242300,-6.48630487372218
"308",241300,-6.51873879898567
"309",240300,-6.4734244154387
"310",239300,-6.24492418928692
"311",238300,-5.94067295128435
"312",237300,-5.58460804835579
"313",236300,-5.45366954704956
"314",235300,-5.42028729323446
"315",234300,-5.41673601751069
"316",233300,-5.35698677397501
"317",232300,-5.11660385448701
"318",231300,-5.26453581158526
"319",230300,-5.18732169590209
"320",229300,-5.25135926713049
"321",228300,-5.3075712368532
"322",227300,-5.41649992195902
"323",226300,-5.47257574278541
"324",225300,-5.55667812684565
"325",224300,-5.6598010887463
"326",223300,-5.77086259756922
"327",222300,-6.00729551696231
"328",221300,-5.91887662213274
"329",220300,-5.87486897538871
"330",219300,-5.84721813454061
"331",218300,-5.83005581916089
"332",217300,-5.91383575783384
"333",216300,-6.02900567210562
"334",215300,-6.24973077440388
"335",214300,-6.35658957415051
"336",213300,-6.42076694615436
"337",212300,-6.51702782426911
"338",211300,-6.64958792119249
"339",210300,-6.79535990771471
"340",209300,-6.9903765543497
"341",208300,-6.87032711872821
"342",207300,-6.84514383322609
"343",206300,-6.82633274713488
"344",205300,-6.78338181949936
"345",204300,-6.67606790861722
"346",203300,-6.40408352942316
"347",202300,-6.32788440214196
"348",201300,-6.21276921407844
"349",200300,-6.71282735367876
"350",199300,-7.00723367445023
"351",198300,-7.10122276698625
"352",197300,-7.00240208230836
"353",196300,-7.1973783483892
"354",195300,-7.27857960054014
"355",194300,-7.34381997077471
"356",193300,-7.75774513945245
"357",192300,-7.45899741417906
"358",191300,-6.82381484566076
"359",190300,-6.34859251456653
"360",189300,-6.17148635765162
"361",188300,-6.06987406102114
"362",187300,-6.17575506477234
"363",186300,-6.22689199599048
"364",185300,-6.46146816424927
"365",184300,-6.0688536494165
"366",183300,-5.88056806397359
"367",182300,-5.75188476054705
"368",181300,-5.58518854523276
"369",180300,-5.86894397629499
"370",179300,-5.9728746184074
"371",178300,-6.01714679752929
"372",177300,-6.36834600613072
"373",176300,-6.66156169474385
"374",175300,-6.54047878383491
"375",174300,-6.43612004909777
"376",173300,-6.48626903620078
"377",172300,-6.47104058073981
"378",171300,-6.63646460419864
"379",170300,-6.61556167139836
"380",169300,-6.67481292471066
"381",168300,-7.11431041907921
"382",167300,-7.26904598622868
"383",166300,-7.73056721954129
"384",165300,-7.36877632695621
"385",164300,-7.07502486324812
"386",163300,-7.04634250102807
"387",162300,-7.08010858761823
"388",161300,-6.58683192903286
"389",160300,-6.53833865679551
"390",159300,-6.54938470708102
"391",158300,-6.56893256134301
"392",157300,-6.8440980339104
"393",156300,-7.1967767648326
"394",155300,-7.36156027170927
"395",154300,-7.57807693655308
"396",153300,-7.72536588556541
"397",152300,-7.10984826496495
"398",151300,-7.11817131859732
"399",150300,-7.16784266076437
"400",149300,-7.32786849780671
"401",148300,-7.77488212592528
"402",147300,-8.76254492305882
"403",146300,-8.62561195338083
"404",145300,-7.7170541265723
"405",144300,-7.41923902683849
"406",143300,-7.18342509104492
"407",142300,-7.30296167972717
"408",141300,-7.85126423436573
"409",140300,-7.18172324796895
"410",139300,-6.85037120549101
"411",138300,-6.80268514984868
"412",137300,-6.92011352480631
"413",136300,-6.61367751275567
"414",135300,-6.31241117224969
"415",134300,-6.18999973801431
"416",133300,-6.43710673563199
"417",132300,-6.71850587589967
"418",131300,-6.70381027953877
"419",130300,-6.33330529768489
"420",129300,-6.35008287558605
"421",128300,-6.08518571886237
"422",127300,-6.01729127152979
"423",126300,-6.0058749610083
"424",125300,-6.14376364426759
"425",124300,-6.23833661449725
"426",123300,-5.70547721707588
"427",122300,-5.57026132557749
"428",121300,-5.44109445826094
"429",120300,-5.26365805136511
"430",119300,-5.06341435881761
"431",118300,-5.06581755665282
"432",117300,-5.07021429757768
"433",116300,-4.97491428796786
"434",115300,-4.70965129539654
"435",114300,-4.74449926585468
"436",113300,-4.96273563384769
"437",112300,-5.1724044372792
"438",111300,-5.28715761412679
"439",110300,-5.38192944460693
"440",109300,-5.43281119808908
"441",108300,-5.49684899797611
"442",107300,-5.60231557300918
"443",106300,-5.442592658989
"444",105300,-5.35464818179169
"445",104300,-5.31218105285914
"446",103300,-5.28487221211013
"447",102300,-5.2340361674383
"448",101300,-5.27258162521692
"449",100300,-5.36669180360683
"450",99300,-5.49970670252841
"451",98300,-5.82265005854423
"452",97300,-5.68930087255011
"453",96300,-4.98385062953515
"454",95300,-5.16309751363099
"455",94300,-5.1252818706686
"456",93300,-5.25114591291362
"457",92300,-5.46690696968503
"458",91300,-5.6926530147962
"459",90300,-5.75865683112317
"460",89300,-5.72232780817914
"461",88300,-5.49395330595376
"462",87300,-5.67588190507156
"463",86300,-5.75596128425386
"464",85300,-5.79667442225427
"465",84300,-5.80098315139174
"466",83300,-5.80125189695275
"467",82300,-5.8434074545045
"468",81300,-5.87797167655953
"469",80300,-5.77062522454346
"470",79300,-5.69326336531902
"471",78300,-5.53859891708989
"472",77300,-5.09895694314068
"473",76300,-5.77038192678157
"474",75300,-6.03088487822572
"475",74300,-6.06716636690439
"476",73300,-6.07484324637048
"477",72300,-5.97378520548376
"478",71300,-6.07193246985794
"479",70300,-5.99314740976325
"480",69300,-5.90766249257161
"481",68300,-5.04766979272067
"482",67300,-5.50171702648811
"483",66300,-5.43241100618762
"484",65300,-5.43942608365543
"485",64300,-5.48501605632663
"486",63300,-5.47829672193842
"487",62300,-5.40785178840674
"488",61300,-5.18060365783207
"489",60300,-4.71145668029301
"490",59300,-4.47217709097674
"491",58300,-4.41081730310969
"492",57300,-4.45480547292498
"493",56300,-4.9599665260491
"494",55300,-5.09724122590332
"495",54300,-5.51602699809555
"496",53300,-5.73259727467105
"497",52300,-5.73634881450291
"498",51300,-5.58986986801409
"499",50300,-5.32886940751541
"500",49300,-5.18015424949535
"501",48300,-5.19339175437892
"502",47300,-5.32095178693125
"503",46300,-5.40871884754729
"504",45300,-5.41378127456289
"505",44300,-5.44410992680076
"506",43300,-5.47727959095707
"507",42300,-5.54026849040248
"508",41300,-5.51657243923149
"509",40300,-5.44482844875749
"510",39300,-5.49232684953496
"511",38300,-5.56153955250613
"512",37300,-5.51166529095989
"513",36300,-5.53716969824468
"514",35300,-5.67822583572279
"515",34300,-5.85319801641268
"516",33300,-5.62490409326895
"517",32300,-5.72104130141827
"518",31300,-5.90387985355484
"519",30300,-6.08065759723308
"520",29300,-6.17449011687372
"521",28300,-6.34379981855074
"522",27300,-6.42297451510159
"523",26300,-6.3855564904626
"524",25300,-6.36318666056796
"525",24300,-6.2743400139827
"526",23300,-6.05594136510769
"527",22300,-5.95791877221695
"528",21300,-5.99735200793731
"529",20300,-5.92822639806009
"530",19300,-5.76639610754929
"531",18300,-5.71691746359797
"532",17300,-5.57572300417848
"533",16300,-5.36217415742326
"534",15300,-5.33017370397974
"535",14300,-5.41592810699778
"536",13300,-5.63526035064991
"537",12300,-5.87737709841044
"538",11300,-6.01749236062769
"539",10300,-6.20616854590179
"540",9300,-6.4153379913916
"541",8300,-6.54771734415706
"542",7300,-6.55051988820813
"543",6300,-6.84691206207632
"544",5300,-6.78102357992131
"545",4300,-6.73957907360089
"546",3300,-6.86560501488418
"547",2300,-7.0103660955574
"548",1300,-7.21176803837886
"549",300,-7.34980412238049
