"age_Ma","d13Ca_2p5","d13Ca_25","d13Ca_50","d13Ca_75","d13Ca_97p5"
40.3,-5.15131230025936,-4.7915646866267,-4.60254775917831,-4.4084770892159,-4.03170220648308
41.3,-5.15375285425919,-4.79308041666401,-4.59871400197329,-4.40580154953418,-4.0367566892581
42.3,-5.17876295481803,-4.81339189572376,-4.62356645386811,-4.42673176348906,-4.06103594583244
43.3,-5.13623934371443,-4.76954790510533,-4.57770058352613,-4.38415989838647,-4.01422042617323
44.3,-5.11172802308562,-4.75340190211124,-4.56058529183082,-4.366296071383,-3.99428700641112
45.3,-5.08686231564158,-4.72440060330284,-4.53348748417323,-4.33963244569555,-3.9662326426407
46.3,-5.09980835620089,-4.73300626997046,-4.54100259529659,-4.34841855400225,-3.97383606741776
47.3,-5.04770396746811,-4.68614824554506,-4.49147884564868,-4.29740992365664,-3.93224417058612
48.3,-5.02974418841054,-4.66687744285193,-4.47430659745311,-4.28253479906458,-3.91292238438062
49.3,-5.04095172636212,-4.67883463175104,-4.48579539575923,-4.29428564880417,-3.92309099670898
50.3,-5.03863349770306,-4.67410023505823,-4.48201333719923,-4.28866826037265,-3.91772921668383
51.3,-5.24208172432028,-4.88013168264526,-4.68640721464513,-4.49266060208578,-4.12521389845241
52.3,-5.39382381684009,-5.0347125750835,-4.84248533553794,-4.6486594178755,-4.28040674676115
53.3,-5.39959370050324,-5.03827265924677,-4.84485576650224,-4.65428881856211,-4.28686954731345
54.3,-5.2426561675996,-4.87821553765689,-4.68619931446824,-4.49645118661232,-4.12354521456995
55.3,-4.76463329273886,-4.40367021375616,-4.21168364382359,-4.02003751026811,-3.65058827451058
56.3,-4.59362845837273,-4.23160377164283,-4.03917703330993,-3.84826086264038,-3.48082706461418
57.3,-4.15138390948947,-3.78492797839723,-3.59238147775351,-3.40088626840285,-3.03265694155569
58.3,-4.08833200096629,-3.72216157920505,-3.53075458337378,-3.33797603845984,-2.96892983676651
59.3,-4.13440421254263,-3.77226427824556,-3.58010415540735,-3.38765976066895,-3.01238610334274
60.3,-4.41167405794699,-4.05123679412203,-3.85556484942545,-3.66358695346148,-3.2930256600239
61.3,-4.92526313889386,-4.559769408821,-4.3658184011514,-4.17263593623154,-3.80017350893991
62.3,-5.19470488172157,-4.82553568756972,-4.63242498947841,-4.43648469905816,-4.06607185204663
63.3,-5.27376354277515,-4.91060714725846,-4.71533752988756,-4.51895413053766,-4.14767927923434
64.3,-5.25477814206653,-4.89075705742737,-4.69558619454165,-4.50112238964449,-4.12860619192274
65.3,-5.20434859779288,-4.84159809123599,-4.64522060840444,-4.45331873775407,-4.08366759920505
66.3,-5.16630823204806,-4.80301844015032,-4.60995871074468,-4.41711360959284,-4.04781077410906
67.3,-5.14736868476418,-4.78497987174753,-4.59168789848587,-4.39889428812554,-4.03132898170453
68.3,-5.11236563480182,-4.74509814664869,-4.55010997605737,-4.35349824186522,-3.98432381370306
69.3,-5.22741263696423,-4.8574829688086,-4.66273257420837,-4.46801547447705,-4.0963754942673
70.3,-5.35104872020523,-4.97794852122218,-4.78295655445678,-4.58700728657512,-4.20850277811127
71.3,-5.43326352362895,-5.05751206269709,-4.86261133433668,-4.664189542679,-4.27962175390208
72.3,-5.4900609925735,-5.10808968825511,-4.90863373280032,-4.71060808973035,-4.33246788555727
73.3,-5.43638786802853,-5.05325523273713,-4.85408923410549,-4.65709804971824,-4.27310956533188
74.3,-5.34051989547303,-4.96173772182054,-4.76434180079451,-4.56260500638193,-4.17939080859421
75.3,-5.31348315802057,-4.93027720194317,-4.73434485383119,-4.53263368768706,-4.14587358434703
76.3,-5.13535727479154,-4.74556091135832,-4.54685430362942,-4.34474849456485,-3.96275342758696
77.3,-5.12429875314337,-4.73646684482062,-4.53611229999513,-4.33074493120189,-3.9459003656097
78.3,-4.88606789567454,-4.48965282362332,-4.29037984012257,-4.08110866566546,-3.69845523003942
79.3,-4.8249934843132,-4.43197711039896,-4.23179216856502,-4.02294120393909,-3.63514665837048
80.3,-4.80888965678922,-4.41520618656462,-4.21127676837005,-3.99982663610675,-3.60978542208532
81.3,-4.87643156866023,-4.48517685687473,-4.2750652055707,-4.06726631440664,-3.67094192196534
82.3,-4.80384829646235,-4.40986752565577,-4.20073323269589,-3.98903510118208,-3.59219782706931
83.3,-4.78194494152541,-4.39056499953089,-4.18065369226019,-3.9650482889564,-3.57042926628539
84.3,-4.78153581215259,-4.38163131285729,-4.17470376098028,-3.96308275131648,-3.56834781772741
85.3,-4.82021776024723,-4.42301524831473,-4.21438223855953,-4.00146568495227,-3.60303127864885
86.3,-4.82574876940516,-4.43370472174678,-4.22375423488315,-4.01048641969376,-3.61077642604897
87.3,-4.85161421079327,-4.45335637959679,-4.24306034571514,-4.03121873408683,-3.62948669276545
88.3,-4.86118932656059,-4.45814360874115,-4.24868862017962,-4.03860480974893,-3.63817799486492
89.3,-4.76041699158754,-4.35785619774332,-4.14872421388039,-3.93863695299628,-3.54059918715719
90.3,-4.73690600034339,-4.33521674920081,-4.12595599763051,-3.91793347649489,-3.51624665978283
91.3,-4.66756728183938,-4.26698543544655,-4.05722691066401,-3.85069619179201,-3.45455328597596
92.3,-4.4484153540133,-4.04615786025821,-3.83566925379858,-3.62544406538405,-3.22118350579708
93.3,-4.23771021302041,-3.83001313259923,-3.62086237205896,-3.41422346939427,-3.00780354929983
94.3,-4.16394489767036,-3.75968463791187,-3.55486083016928,-3.3459951581935,-2.94295086487111
95.3,-4.40606524617267,-4.00444162004664,-3.79811086210921,-3.58938873073991,-3.18656380494493
96.3,-4.59162994975516,-4.19119609271548,-3.9794542385211,-3.77427323424784,-3.36965480255532
97.3,-4.78242014008735,-4.38104508878891,-4.17292981269348,-3.96681710729176,-3.56678535223027
98.3,-4.97245375669405,-4.56496641311955,-4.35625711307315,-4.15068215280471,-3.74867309032862
99.3,-5.00973875527194,-4.60158202192569,-4.39440000638976,-4.18706278121323,-3.78726073263115
100.3,-4.88099601215666,-4.47567816315784,-4.26865898499157,-4.05961078438532,-3.66565295968163
101.3,-4.87269757716566,-4.4651582125443,-4.2579368910449,-4.04700154061597,-3.65147823586427
102.3,-4.95529724105768,-4.55113175745485,-4.34247805366348,-4.13309644329168,-3.7367665194228
103.3,-4.97184072684735,-4.56301697691437,-4.35333937208198,-4.14307303637241,-3.74960843479782
104.3,-4.98233195882214,-4.5730301822755,-4.36567167056336,-4.15460061594527,-3.75528786433126
105.3,-4.86147053571254,-4.46329957372228,-4.2545396617615,-4.04374165504836,-3.64716933864276
106.3,-4.76001452680395,-4.35969733896159,-4.14896091406764,-3.94007568315103,-3.54004900555505
107.3,-4.74849274884952,-4.34941106093658,-4.14130197209105,-3.93090168116137,-3.5365926166775
108.3,-4.69643352840772,-4.29540998093665,-4.08476961069759,-3.87606338311171,-3.47757022941229
109.3,-4.66936157962695,-4.2628982367358,-4.05478349478924,-3.84434310542084,-3.44461254800677
110.3,-4.60871243178469,-4.20815552064259,-3.99974583378451,-3.79079243613376,-3.39117706318113
111.3,-4.60269717698977,-4.20348645102072,-3.99397394575469,-3.78575850620233,-3.38739991346588
112.3,-4.48101231187621,-4.0786399023157,-3.86532514720743,-3.65514971503744,-3.25425983541288
113.3,-4.29105201777167,-3.88495380690085,-3.6770284277459,-3.4631646631356,-3.0636108358554
114.3,-4.19719321029541,-3.79718717960472,-3.58716592233082,-3.3761725721143,-2.97797407489467
115.3,-4.00719802921134,-3.60098649506137,-3.39043105521908,-3.17904854474131,-2.77592716974999
116.3,-4.18084710150478,-3.77282551123261,-3.558274529177,-3.34644995796184,-2.93985445409915
117.3,-4.2449468133587,-3.83518257813748,-3.62150238659179,-3.40369900432296,-2.99595622059055
118.3,-4.22525725928585,-3.81568038239119,-3.6004886604919,-3.38990965343574,-2.97728001660256
119.3,-4.24311911815967,-3.83015893464413,-3.61742090115966,-3.4044131213481,-3.00172744326767
120.3,-4.52962018225778,-4.12017780433137,-3.90994145000659,-3.69487315335211,-3.28926300266594
121.3,-4.70216585318208,-4.29431949361233,-4.08614796063881,-3.87246152106065,-3.46841281398557
122.3,-4.70784114671749,-4.29893334677332,-4.08931208151326,-3.87844730388971,-3.47314908825975
123.3,-4.66526426797821,-4.26297971503138,-4.05019849968051,-3.83721900859056,-3.43906811186529
124.3,-4.85604229746307,-4.45120467923755,-4.24065178169482,-4.02344129754755,-3.62283487140131
125.3,-4.94769040597117,-4.53862018555913,-4.32665339099557,-4.11520477718175,-3.71200733376525
126.3,-4.9878717964409,-4.58401446186017,-4.3747036604092,-4.16224162329781,-3.75847606687697
127.3,-5.00131324887617,-4.598380649244,-4.38781267313735,-4.17680744385493,-3.76722502299169
128.3,-5.04287306301677,-4.64185051375582,-4.43259787386834,-4.21771326512606,-3.80950703542729
129.3,-5.11517288418075,-4.71339657389308,-4.50054925087917,-4.28466670067204,-3.88195324967117
130.3,-5.10707383176943,-4.70335300070092,-4.49238308218961,-4.27551230985283,-3.87219813988059
131.3,-5.03043122394266,-4.62678362359777,-4.41695319811649,-4.20005373854961,-3.79472852736889
132.3,-5.02982333606238,-4.61823785103765,-4.40956377682495,-4.19242848456162,-3.79093443562935
133.3,-5.04688031593653,-4.63790354698309,-4.42867944994544,-4.20878738342095,-3.80691996929304
134.3,-5.10337372421948,-4.69595983150226,-4.48269088988097,-4.26640309452558,-3.86957573093874
135.3,-5.54777999933446,-5.13924264470274,-4.92451821580872,-4.70936403236284,-4.31182693240868
136.3,-5.94201644592345,-5.5346753896131,-5.32151616588023,-5.10545908307464,-4.70579910916076
137.3,-6.01945275582245,-5.61241012143029,-5.40085790527492,-5.18305111946553,-4.78494358224127
138.3,-6.07850242748643,-5.67838234547772,-5.46415918416898,-5.25003119333468,-4.85220800796484
139.3,-6.11669963651503,-5.71301912625257,-5.49931820041702,-5.28447324401487,-4.88387049140867
140.3,-6.1957923847551,-5.79262848534855,-5.5817965316918,-5.36658544280298,-4.9580569426679
141.3,-6.31199224707389,-5.9059084194639,-5.69409610039332,-5.47880030518158,-5.0728618035106
142.3,-6.5243334997339,-6.11941372938905,-5.90500453802918,-5.69213619861465,-5.28870977869593
143.3,-6.61783984057782,-6.21129048148925,-6.00338784365212,-5.79082381192443,-5.39218962331633
144.3,-6.76284620313624,-6.35496426209036,-6.14575185713441,-5.93717883283102,-5.5330673329815
145.3,-6.84057726314654,-6.43800707099065,-6.22421293834896,-6.01698149387429,-5.61847050362028
146.3,-7.04242094820117,-6.64092550864368,-6.43093830820082,-6.2219543619924,-5.82947538841089
147.3,-6.71450067881437,-6.31211900544278,-6.1052942238487,-5.89805923175399,-5.50096591231369
148.3,-6.42335883820911,-6.01986246943174,-5.8098754360985,-5.60450321250738,-5.20632054929053
149.3,-6.29866311633997,-5.89389739142141,-5.68712992567322,-5.48018775725779,-5.0779954736529
150.3,-6.22952739530939,-5.83406485206674,-5.62483733225448,-5.41868796761447,-5.02129843205874
151.3,-6.14314292005442,-5.74002859887704,-5.53284421645074,-5.32647003027722,-4.93388042835474
152.3,-6.0445253485353,-5.64032542714697,-5.43735833925263,-5.23054458189412,-4.83618599179332
153.3,-6.1115706348252,-5.71137505903712,-5.50787895546953,-5.30432712811854,-4.9045586029762
154.3,-6.12720401475268,-5.72057982532178,-5.51552547366997,-5.31086217467649,-4.91428571936196
155.3,-6.03359839632387,-5.62968296732393,-5.42653213095638,-5.21954198166522,-4.83112294176609
156.3,-5.92200596809105,-5.51648398964272,-5.31355235791458,-5.10659087595449,-4.71339631710171
157.3,-5.82228508028039,-5.420828466,-5.21743227995424,-5.01175570785916,-4.61336389514637
158.3,-5.77040229399511,-5.36658455608707,-5.16562835776956,-4.95643642064829,-4.55916373576288
159.3,-5.86503337598931,-5.45544014542287,-5.24951365113681,-5.04133739937854,-4.64437653618887
160.3,-5.76035494412279,-5.35609237186081,-5.14729377938231,-4.9395727673074,-4.5446415326468
161.3,-5.63239403754677,-5.23591505968609,-5.02854585614563,-4.82369343822771,-4.42675067480931
162.3,-5.68428938016395,-5.28697906761568,-5.08123990239145,-4.8731939157091,-4.47704547332143
163.3,-5.87259568288895,-5.47450247753986,-5.26592283387758,-5.06108222023365,-4.65750771802408
164.3,-5.92104562509688,-5.52298142401241,-5.315780745825,-5.1111421547628,-4.70759460388521
165.3,-6.13154239094355,-5.73555474790134,-5.52932718701925,-5.32401965226854,-4.92166015764336
166.3,-6.12442213507454,-5.72338495993004,-5.51689794841049,-5.31264910674224,-4.91228032935227
167.3,-5.97126668917374,-5.57063979700548,-5.36657589057385,-5.15876928924991,-4.75734996075541
168.3,-5.89413267788611,-5.49549594752098,-5.29071220974889,-5.08384482440097,-4.68419208423659
169.3,-5.50430712451538,-5.10675647383169,-4.90023499230018,-4.69384359103003,-4.29721534631771
170.3,-5.34414102670998,-4.94609070271893,-4.7387482950997,-4.53277214946349,-4.13565972897151
171.3,-5.35179271073499,-4.95248832822988,-4.74348722641396,-4.53855631371562,-4.1391459467206
172.3,-5.33615986042753,-4.93097725943609,-4.7262966603685,-4.51565137260288,-4.11859231135468
173.3,-5.30845017343004,-4.91109341317879,-4.70385837750934,-4.49339632565042,-4.0939130538899
174.3,-5.32143305177051,-4.9234655930972,-4.7169622693878,-4.50951451744624,-4.1110266606017
175.3,-5.34592391097323,-4.9510227722536,-4.74516759350142,-4.5375018377943,-4.14468734404721
176.3,-5.22910719299516,-4.83495959850934,-4.62912948876947,-4.4211931350024,-4.0290745910708
177.3,-5.00717861280747,-4.61441237450174,-4.40713314454547,-4.19874814784118,-3.80438192475365
178.3,-4.75074014330725,-4.35722072279567,-4.15353620676416,-3.94620825166454,-3.54977488083088
179.3,-4.62132155241542,-4.23556776164086,-4.03100398477332,-3.82322653487234,-3.42627810858501
180.3,-4.55692554448291,-4.17072640113157,-3.96891274167901,-3.7610597653232,-3.36522424434187
181.3,-4.278985828993,-3.89153631018081,-3.68823034488499,-3.48146814347308,-3.08486262273918
182.3,-4.14280391124872,-3.75890773081213,-3.55447905082611,-3.34502910184494,-2.95327792979995
183.3,-4.54818367879026,-4.15595304588229,-3.95392410990452,-3.75006621555909,-3.35301531202685
184.3,-4.80992596177347,-4.4124556645497,-4.20833860209383,-4.00410518635355,-3.60712717321694
185.3,-4.950495885694,-4.55880329267584,-4.34943483504728,-4.14732875007836,-3.74758884268539
186.3,-4.98870890895135,-4.59056362006117,-4.38219768351344,-4.17373049634728,-3.78168675515629
187.3,-5.03767428715308,-4.63986828251445,-4.43241996381288,-4.2239384892382,-3.83267761582243
188.3,-5.07036815555771,-4.67361135745924,-4.46363312855715,-4.25739853177771,-3.86117447814609
189.3,-5.1617336981703,-4.76375502113942,-4.55415422665524,-4.34752077927339,-3.95215081369927
190.3,-5.24729227629113,-4.85160736658836,-4.64326279978378,-4.43629560172077,-4.04374852590975
191.3,-5.56038805934822,-5.16616564760825,-4.95797005904907,-4.74857148452326,-4.3525195529285
192.3,-6.07190909042793,-5.67334797792023,-5.46519146164162,-5.25696993895314,-4.86313668809573
193.3,-6.66584301358491,-6.2734617441401,-6.06267970611984,-5.85588326987756,-5.46094788190579
194.3,-6.33315192063177,-5.93666113481917,-5.72721086590281,-5.51667335642236,-5.12892138487728
195.3,-6.11558551114854,-5.71519223337559,-5.50488363397279,-5.29656653476011,-4.89905963640556
196.3,-5.98452164859882,-5.5815819300078,-5.3742249187089,-5.15931927038569,-4.76146083749527
197.3,-5.83609864083166,-5.4378555366083,-5.2317828310539,-5.02066146484098,-4.62077584087152
198.3,-5.96999991091334,-5.57212254983515,-5.36611189472068,-5.1530863030109,-4.75502404129403
199.3,-6.0353100440777,-5.63923298197925,-5.43011286579191,-5.22402738416377,-4.821930725313
200.3,-5.73457704265374,-5.34176307971446,-5.13208984187026,-4.92362791447259,-4.52948497255667
201.3,-5.26139203004832,-4.8687082630881,-4.66596949693109,-4.45878201529002,-4.06587985409014
202.3,-5.51703422511857,-5.1226399386635,-4.91887568870895,-4.71015462645723,-4.31732628908424
203.3,-5.85518003811378,-5.46079907042048,-5.25210723263704,-5.04697744952677,-4.65263197823459
204.3,-5.88507621710284,-5.4911571953484,-5.28403212049355,-5.07786406511496,-4.68125469533779
205.3,-5.92496573175958,-5.52466682744381,-5.31610088247041,-5.1085276166147,-4.71482381178053
206.3,-5.95322300765494,-5.54598384404565,-5.33279012083662,-5.12315926523636,-4.72436173950444
207.3,-5.97285472009835,-5.55780159815412,-5.34827965426846,-5.13851722421915,-4.73729762125782
208.3,-6.00426156896865,-5.59314723844205,-5.38385073221226,-5.17550316368964,-4.77229115479158
209.3,-6.15547266653792,-5.75083352877647,-5.53976365809747,-5.33741208227162,-4.93638435769176
210.3,-5.92550766131154,-5.52464366543929,-5.3118262364387,-5.1059394653842,-4.70424170632576
211.3,-5.75963039453003,-5.36153459558736,-5.15100981495879,-4.93975537479517,-4.54335867463029
212.3,-5.62333953228353,-5.22314486743022,-5.01542907110488,-4.80288061989489,-4.40557324702481
213.3,-5.54885022401363,-5.14940640319997,-4.94322034288156,-4.7338002365498,-4.33465337716935
214.3,-5.53316230919202,-5.13961662436669,-4.93084613172909,-4.72156557566204,-4.32171255143688
215.3,-5.54617517900496,-5.14741581404489,-4.93889564416827,-4.72893516073661,-4.33148716459994
216.3,-5.53220326632504,-5.1358654532119,-4.9265211325438,-4.7179811252641,-4.32082088849053
217.3,-5.2985662416197,-4.89786524979725,-4.68745972658825,-4.47496288582373,-4.08134407472305
218.3,-5.13880844722941,-4.73778894096862,-4.5250359616335,-4.31431346086824,-3.90875727598041
219.3,-5.12511209362244,-4.72164422730102,-4.5054270334969,-4.29641655354544,-3.88437909932478
220.3,-5.16581031230713,-4.7581650423247,-4.54430613766639,-4.33829067201034,-3.92582790359003
221.3,-5.26472453287116,-4.85244521278437,-4.64068912259783,-4.43336428549517,-4.02335966842471
222.3,-5.43598898292658,-5.03423112627712,-4.82284551145356,-4.61598985470604,-4.2054277894189
223.3,-5.05569485258079,-4.64767470582935,-4.43220494612411,-4.22488159975978,-3.81794473472604
224.3,-4.87070941638236,-4.46574170817113,-4.24991795277595,-4.03785067488911,-3.63184405873023
225.3,-4.73179832034365,-4.32602717663575,-4.11072888239057,-3.89807162838618,-3.48894051603382
226.3,-4.62134154860093,-4.21639891094189,-4.00055330811322,-3.78436611860511,-3.37614226350025
227.3,-4.56061071031939,-4.15549044452244,-3.94057345144821,-3.72727052054275,-3.31828888265754
228.3,-4.48701274989338,-4.08028494372936,-3.86449900308717,-3.65172707026405,-3.23892457119542
229.3,-4.46523053447657,-4.05542936439348,-3.84172435274569,-3.62830018348504,-3.21738549336565
230.3,-4.47127445594975,-4.06116164840802,-3.84968261145275,-3.6357142585698,-3.22524847159451
231.3,-4.59923660105304,-4.19445895496133,-3.97900659286187,-3.76817844798872,-3.3548358525934
232.3,-4.75953019943158,-4.35351558523448,-4.1375551655814,-3.92562129533846,-3.50965115520179
233.3,-4.74564331521994,-4.3351247031612,-4.11830014129148,-3.90462363046239,-3.49223623971289
234.3,-4.66309442340088,-4.25239764127982,-4.03465826249803,-3.82209267173345,-3.40932141929336
235.3,-4.55782058565143,-4.14582945488183,-3.92824103691724,-3.7197568631462,-3.30606231172351
236.3,-4.57083968661094,-4.1648336007092,-3.94669719142306,-3.73764107712092,-3.3243734966258
237.3,-4.70546853839473,-4.29496306131931,-4.0769598834214,-3.86496131229199,-3.45180290873806
238.3,-5.08438858911584,-4.6755490240637,-4.45994473603777,-4.24794137765743,-3.8323530429565
239.3,-5.441363981649,-5.03492883046065,-4.82120612603024,-4.60809740912227,-4.20464824189727
240.3,-5.40903552474844,-5.00775088394854,-4.78972101886406,-4.57442993526719,-4.17136425512972
241.3,-5.47683356901946,-5.06722355651672,-4.84965576224845,-4.63217253959299,-4.22493672305843
242.3,-5.44593721332065,-5.03805224051667,-4.82417139020386,-4.61126187591955,-4.20567187558994
243.3,-5.32266715620248,-4.91943477156011,-4.70485337635401,-4.48881520085156,-4.08387509356172
244.3,-5.25930676299484,-4.85413727751855,-4.64351717385652,-4.42716471851386,-4.02260368265972
245.3,-4.91457700122871,-4.51328123523224,-4.30460741499024,-4.08991583533428,-3.68777006142824
246.3,-4.69957332703674,-4.29484205250937,-4.08568165649055,-3.87437922257852,-3.46869252481447
247.3,-5.10561009626642,-4.70424978267904,-4.49361353667156,-4.28176681954219,-3.88465552593455
248.3,-5.46414629546832,-5.06359326596781,-4.856544816496,-4.64368619589155,-4.24525773564293
249.3,-5.29363889678105,-4.89391895818808,-4.68601053105719,-4.47865752956981,-4.08180063378957
250.3,-4.92291216464732,-4.52046567049785,-4.31274251181193,-4.10216525881828,-3.70420329025501
251.3,-4.87264930105649,-4.48191060174185,-4.27506023734467,-4.06543941773031,-3.67096882905861
252.3,-4.71449796144806,-4.32248373948191,-4.11665101597019,-3.910657739219,-3.52196293037098
253.3,-4.41864470302005,-4.02297551375171,-3.81492636921597,-3.60559121422999,-3.21516437109712
254.3,-4.15657506293064,-3.75914714873439,-3.55060490497358,-3.34375191331238,-2.95213104515991
255.3,-4.03125659447706,-3.64099953176612,-3.43585239742323,-3.22998304327915,-2.83709380785283
256.3,-4.09922181269062,-3.70980252657669,-3.50441553099161,-3.30104777412049,-2.90450535491134
257.3,-4.1628511482573,-3.77093709260065,-3.56477593084869,-3.35997185086633,-2.96644736499052
258.3,-4.07496493005366,-3.68443651960557,-3.47866738054155,-3.27027167062759,-2.87921282773775
259.3,-4.17812561916449,-3.78541989369281,-3.5812868266561,-3.37228016256156,-2.98090901505473
260.3,-4.46534077465761,-4.06847597072742,-3.86543332734456,-3.6593644992784,-3.26353016695358
261.3,-4.58872551228005,-4.19020588941876,-3.98737333886863,-3.77979789629743,-3.38460585367334
262.3,-4.21910423397463,-3.82613028216453,-3.62136023848859,-3.41252117157706,-3.01538648127692
263.3,-3.9346656211226,-3.53673316017075,-3.33403514264013,-3.12576933881816,-2.73135471240228
264.3,-3.9013448352533,-3.50656094878836,-3.30179767095018,-3.09537626168258,-2.69238448502264
265.3,-4.02720034254883,-3.62526875959598,-3.41763335110113,-3.20863371244064,-2.80652450350171
266.3,-4.2518810371946,-3.86088681186083,-3.65123612369843,-3.44360929946812,-3.04595920863084
267.3,-4.43186361873675,-4.03684670317665,-3.83196868417387,-3.62020377799822,-3.22595901055399
268.3,-4.93435823819588,-4.53869030534389,-4.33175418864105,-4.11901832609185,-3.73129709081624
269.3,-4.6859943381772,-4.29312214080642,-4.08602658022796,-3.87697484921314,-3.48087045652998
270.3,-4.73232504698359,-4.33187229701077,-4.12604843525112,-3.91398338848854,-3.51835696062688
271.3,-4.97841817605004,-4.58393006766568,-4.37595976961788,-4.16784931668181,-3.77456789879352
272.3,-5.1709274016695,-4.77632201425907,-4.56738660838707,-4.35906152708824,-3.96358031622459
273.3,-4.7190233872227,-4.3173891160138,-4.10899782107246,-3.89756335415994,-3.49989049127465
274.3,-4.22992052280688,-3.82109106480155,-3.60943154342091,-3.39759121767925,-2.99771966151736
275.3,-4.01326189194464,-3.60680481830301,-3.39394670837717,-3.17984980620142,-2.78012395398085
276.3,-3.94046476076675,-3.54005359639292,-3.32809261912205,-3.11755899928834,-2.72273906895254
277.3,-3.93822145216349,-3.53568583791321,-3.32633510839709,-3.11719649570029,-2.72598801698713
278.3,-3.77357290466894,-3.37788625888059,-3.16936986749471,-2.96319340406529,-2.57320592369339
279.3,-4.18895504338989,-3.79304771986063,-3.58471804966661,-3.3762766333339,-2.97423430886438
280.3,-4.64745983903874,-4.24871453789193,-4.04281085209962,-3.83121230570553,-3.43537956339312
281.3,-4.82883304066269,-4.42922778072465,-4.21997641515361,-4.01285064415634,-3.6153937722442
282.3,-4.67165919624181,-4.27215825367504,-4.06334546519734,-3.85601614578646,-3.45990629565395
