"age_Ma","d13Ca_2p5","d13Ca_25","d13Ca_50","d13Ca_75","d13Ca_97p5"
0.3,-7.40366648231624,-7.03315101866693,-6.84186976973299,-6.65006245869433,-6.27431870459436
1.3,-7.25841352927125,-6.88717952114497,-6.69851566825357,-6.50774743398876,-6.13287896632279
2.3,-7.05006840354038,-6.68931213798281,-6.49865029394497,-6.30667300705453,-5.94119667163631
3.3,-6.95071763762529,-6.58818045718294,-6.40063918115868,-6.20893572275065,-5.84126193510182
4.3,-6.954565904463,-6.59489089740325,-6.40515882930739,-6.21621371690902,-5.85298899444799
5.3,-6.87218304543407,-6.51186900581775,-6.32299726803637,-6.13451964744444,-5.7696522344154
6.3,-6.7758719997782,-6.41740548870409,-6.22943175718485,-6.04017628240444,-5.67450899221614
7.3,-6.53210214216651,-6.17152949070109,-5.98069601512224,-5.78790551039908,-5.42080946736346
8.3,-6.40144597227173,-6.04402508422093,-5.85210240843367,-5.6602154052373,-5.29888569956534
9.3,-6.26892781381818,-5.90996334438369,-5.71810734635581,-5.52567309632785,-5.16079555751316
10.3,-6.20858228112287,-5.84684147137163,-5.65469668936834,-5.46113324345996,-5.09091824760788
11.3,-6.05494250866949,-5.69068526630075,-5.49927899587855,-5.30635599894091,-4.94257547198618
12.3,-5.93410419694803,-5.57080810173356,-5.37827224259056,-5.1873463011431,-4.82062372557683
13.3,-5.7379490752252,-5.37848692050187,-5.18556644112028,-4.99451080293212,-4.62899725266451
14.3,-5.57969443567479,-5.21891652153057,-5.02493401209022,-4.83233810819086,-4.463354784698
15.3,-5.54444742833115,-5.19233086526708,-4.99834751275395,-4.80722968798444,-4.43671444248219
16.3,-5.81764911352841,-5.45877232311554,-5.26033219804822,-5.07194714198883,-4.70345473211354
17.3,-6.24426330200442,-5.88370834088444,-5.68920575745133,-5.49989879234905,-5.1300696843812
18.3,-6.47315234968386,-6.11035890692256,-5.91815710205185,-5.72462049154361,-5.35520266063621
19.3,-6.41523754122969,-6.04871187743875,-5.85598106338668,-5.66388129801886,-5.29690172870952
20.3,-6.32586830170861,-5.95755862341799,-5.7674069186285,-5.57395766782273,-5.20940114646066
21.3,-6.23249903030277,-5.8653390856363,-5.67451436505694,-5.48543634886921,-5.11738011042229
22.3,-6.00722059581148,-5.64097032665591,-5.44874487830245,-5.25867633660032,-4.88985101544176
23.3,-5.88111030230351,-5.51593998046154,-5.32656728685363,-5.13412194907462,-4.76951109856746
24.3,-6.01599919448206,-5.64981460439486,-5.46116218759332,-5.27068884710864,-4.90246650632677
25.3,-6.08419107737367,-5.72261976462538,-5.53220055446513,-5.34020642540776,-4.9745059899809
26.3,-6.07077190350159,-5.70991810683673,-5.52040225784185,-5.33021640811475,-4.95947146410629
27.3,-6.10260710694696,-5.7387843546679,-5.54980050070631,-5.35862825155538,-4.9908726825364
28.3,-6.07568783731697,-5.71686041588471,-5.52664139744764,-5.33661372452707,-4.96917314375593
29.3,-6.02365824591966,-5.66636415633007,-5.4750573825816,-5.28623333345837,-4.91984298885241
30.3,-5.97983955716164,-5.6158392997206,-5.42521226950804,-5.23321279462994,-4.86432268536049
31.3,-5.81152675385547,-5.45241779711622,-5.25668620818197,-5.06474139418937,-4.69470712070368
32.3,-5.66445559953216,-5.30948468047995,-5.11409675809756,-4.92370249745817,-4.55601736322334
33.3,-5.56965647304254,-5.2110466721787,-5.01975237021009,-4.82679350114706,-4.45914029458453
34.3,-5.67516973706053,-5.31526534169848,-5.12480885995938,-4.93334682680588,-4.56936887980766
35.3,-5.53648605379042,-5.17987877103465,-4.98947382603536,-4.79812116148127,-4.4319740059008
36.3,-5.28012530975804,-4.91634610970622,-4.72542109546767,-4.52961098816472,-4.16561934745841
37.3,-5.21822624538152,-4.85410071827479,-4.66198266092791,-4.46584423702399,-4.09594641294996
38.3,-5.24346995011233,-4.88106827361877,-4.68761372405007,-4.49369405476631,-4.12190480646962
39.3,-5.18022712006713,-4.81695638792715,-4.62332718789978,-4.43052239258786,-4.05138625423933
