"age_Ma","d13CO2_2p5","d13CO2_25","d13CO2_50","d13CO2_75","d13CO2_97p5"
0.0498630000000121,-7.67057719696822,-7.27294526841518,-7.06766996158035,-6.86302263885835,-6.47255452680028
0.149863000000012,-7.67845534526041,-7.2821407554354,-7.07861467474003,-6.8725411381406,-6.48373513764273
0.249863000000012,-7.69055805588867,-7.29983108857859,-7.09516877419916,-6.88972962868489,-6.50116497269549
0.349863000000012,-7.67392401767059,-7.28518390173526,-7.08137245889804,-6.87743150855996,-6.48544608852768
0.449863000000012,-7.67066242643122,-7.27942813526382,-7.07565204615392,-6.86924494726035,-6.47999541165045
0.549863000000012,-7.6734169579004,-7.28509294128118,-7.08134457367561,-6.87743099058572,-6.4850626506299
0.649863000000012,-7.68190817928051,-7.28776050955477,-7.08451911704169,-6.88034649079484,-6.48332381124317
0.749863000000012,-7.6745227542887,-7.28239317861741,-7.07740985552605,-6.8752337003526,-6.48021715103227
0.849863000000012,-7.66113653311498,-7.27027906152165,-7.06848687976437,-6.86365145565986,-6.46935039671655
0.949863000000012,-7.6271540002614,-7.23704678327001,-7.03530064428135,-6.83121062273565,-6.43990663338188
1.04986300000001,-7.5963323642527,-7.20393405930537,-7.00286503575039,-6.79854834858003,-6.40787930735999
1.14986300000001,-7.55880064250501,-7.17041295793664,-6.96739731783951,-6.76339954415925,-6.37138299036258
1.24986300000001,-7.53527689585045,-7.14037817262654,-6.9397443531162,-6.73351079936444,-6.34293136611998
1.34986300000001,-7.49495691391411,-7.10688163444138,-6.90635080409996,-6.69829517144612,-6.30825042998029
1.44986300000001,-7.4756240995666,-7.08380017486946,-6.88183757509621,-6.6755719109807,-6.28433822825356
1.54986300000001,-7.45814030420265,-7.06510437251534,-6.86177461691452,-6.65626868999287,-6.26695466353161
1.64986300000001,-7.43734665835291,-7.04435958450381,-6.8414068281066,-6.6353416348363,-6.2475817641295
1.74986300000001,-7.4383295027053,-7.04358017477351,-6.84100314589699,-6.63692555836989,-6.24461510462674
1.84986300000001,-7.42943045529242,-7.03458002381205,-6.8325049892269,-6.62759256599132,-6.23787242406286
1.94986300000001,-7.42582214350257,-7.03495937232663,-6.83325493431294,-6.62993915762099,-6.23954614245165
2.04986300000001,-7.41436159888828,-7.02050194652602,-6.81875740276143,-6.61598168218525,-6.22355908294004
2.14986300000001,-7.40169035643787,-7.01279278574611,-6.81053445065428,-6.60622454224205,-6.2147246347489
2.24986300000001,-7.40076502448547,-7.00783827679,-6.80569792717189,-6.6031439156994,-6.21036384223173
2.34986300000001,-7.38545886438809,-6.99429634975227,-6.79230898855071,-6.58750791186118,-6.20117509393643
2.44986300000001,-7.35820116443843,-6.97275284631428,-6.76879931529669,-6.56515672188385,-6.17742864842042
2.54986300000001,-7.33598253305039,-6.95472112549986,-6.74941853978408,-6.54591534919179,-6.15566727289448
2.64986300000001,-7.31426854638609,-6.92999091243096,-6.72509932296069,-6.52291611342301,-6.13454357010517
2.74986300000001,-7.28690695129038,-6.90182182637852,-6.69750887511888,-6.49441819193865,-6.10186689990251
2.84986300000001,-7.25903339092317,-6.87183681054862,-6.6685238340868,-6.4685264242242,-6.07389135645445
2.94986300000001,-7.24394470730408,-6.85417699714922,-6.65216667039943,-6.4502405079817,-6.05768858095498
3.04986300000001,-7.22449100847135,-6.83388328297026,-6.63162170112572,-6.42673484906131,-6.03702620673451
3.14986300000001,-7.1937240791341,-6.80501819576217,-6.60395963814789,-6.39992892173942,-6.01083579681669
3.24986300000001,-7.16249604971049,-6.77432548169188,-6.57281377593461,-6.37004390964294,-5.98003938850613
3.34986300000001,-7.14941831473242,-6.76035462824753,-6.55961532652815,-6.35658969718461,-5.96901922809171
3.44986300000001,-7.11931659558627,-6.73318967155083,-6.53144675970949,-6.32826898640013,-5.93861398208179
3.54986300000001,-7.09395487810266,-6.70956321331319,-6.50677758897812,-6.30259142863355,-5.91670907868805
3.64986300000001,-7.07922333984373,-6.69678451121379,-6.49446089631883,-6.29140806564149,-5.90076864746713
3.74986300000001,-7.07072917983485,-6.68491336703198,-6.48041358069559,-6.27679697049044,-5.89044856810808
3.84986300000001,-7.06647213021438,-6.68131855310291,-6.47899689751801,-6.27576614706984,-5.88593139846041
3.94986300000001,-7.05340857750993,-6.66832519727918,-6.4659053447908,-6.26107674808012,-5.87178842754579
4.04986300000001,-7.05054204707218,-6.66368894577837,-6.45838324298609,-6.25613532181287,-5.86640291031109
4.14986300000001,-7.04316771863749,-6.65696637136913,-6.45310710326329,-6.25025288103993,-5.86134678752757
4.24986300000001,-7.03481892260289,-6.64578642648057,-6.44276474682667,-6.24029447134948,-5.84907707192789
4.34986300000001,-7.02719521413263,-6.63511690387316,-6.43413279389075,-6.23108264890154,-5.84049114491755
4.44986300000001,-7.02867259366913,-6.63705064125706,-6.43704621251463,-6.23151053498343,-5.84103218890153
4.54986300000001,-7.04502543757576,-6.65481713222322,-6.45226603597785,-6.24821906854151,-5.85501658129902
4.64986300000001,-7.07357842585366,-6.68266838663239,-6.48186370512659,-6.27649104619107,-5.88758212911959
4.74986300000001,-7.0487452220389,-6.66347876871392,-6.45995509885646,-6.2570226739664,-5.86785145271851
4.84986300000001,-7.05056906199204,-6.66154740271396,-6.45956621209314,-6.25803535753538,-5.86690744074909
4.94986300000001,-7.06227680008353,-6.67387002802721,-6.46976794885858,-6.26715785578424,-5.87904781310317
5.04986300000001,-7.01440160576091,-6.62458486786587,-6.42220979845938,-6.21996222862174,-5.83046794574877
5.14986300000001,-6.97097273057041,-6.58293434990253,-6.38083943696169,-6.18033290818798,-5.78762082277232
5.24986300000001,-6.93510076813694,-6.54223390928052,-6.34011723520798,-6.13889787220072,-5.74632832449701
5.34986300000001,-6.90628801794757,-6.51650966597082,-6.31482322844863,-6.11199319164363,-5.71942418954683
5.44986300000001,-6.90056577672826,-6.51301179809025,-6.30959549060137,-6.1072158049559,-5.71485990439447
5.54986300000001,-6.9007112001225,-6.5141601126791,-6.31043197573088,-6.10809085672197,-5.71435389847487
5.64986300000001,-6.89982085016607,-6.51072065866571,-6.30831536888479,-6.10672463730017,-5.71283416803145
5.74986300000001,-6.91937574486453,-6.52861824069613,-6.32586952460493,-6.12375653671731,-5.7297439630552
5.84986300000001,-6.94803290853831,-6.55743596077024,-6.35419481842232,-6.14990716774884,-5.7609677193812
5.94986300000001,-6.95469395361886,-6.56485892766333,-6.36227880644228,-6.15780923385966,-5.76737079793426
