"","age","d13C","source","assigned location","assigned lat","assigned lon","category"
"27012"," 91.210934"," 2.14400000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27013"," 91.236612"," 2.28200000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27014"," 91.269003"," 2.12700000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27015"," 91.299419"," 2.18300000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27016"," 91.330768"," 2.12800000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27017"," 91.366342"," 2.11900000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27018"," 91.396302"," 2.07300000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27019"," 91.433977"," 2.12500000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27020"," 91.465675"," 2.23600000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27021"," 91.501823"," 2.16000000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27022"," 91.535199"," 2.39100000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27023"," 91.573228"," 2.41300000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27024"," 91.616220"," 2.37400000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27025"," 91.652306"," 2.25800000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27026"," 91.689219"," 2.40400000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27027"," 91.735468"," 2.40900000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27028"," 91.769892"," 2.45200000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27029"," 91.813865"," 2.48400000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27030"," 91.854341"," 2.47700000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27031"," 91.886417"," 2.61400000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27032"," 91.928429"," 2.74500000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27033"," 91.971313"," 2.64400000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27034"," 92.019993"," 2.80100000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27035"," 92.064739"," 2.99400000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27036"," 92.115505"," 2.71700000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27037"," 92.167382"," 3.03500000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27038"," 92.231112"," 3.05500000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27039"," 92.296471"," 2.96100000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27040"," 92.363471"," 2.94000000","Jenkyns et al. 1994","Dover"," 51.12","   1.32","bulk"
"27041"," 92.398783"," 3.12641927","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27042"," 92.447651"," 3.09294154","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27043"," 92.499304"," 3.03698617","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27044"," 92.544392"," 2.92791035","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27045"," 92.596202"," 3.07921594","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27046"," 92.633454"," 2.93156113","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27047"," 92.673267"," 3.03657225","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27048"," 92.711458"," 2.97630170","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27049"," 92.864239"," 2.88036895","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27050"," 92.894178"," 2.96854966","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27051"," 92.900000"," 2.86666572","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27052"," 92.924898"," 2.76478177","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27053"," 92.942836"," 2.85688365","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27054"," 92.952573"," 2.94898554","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27055"," 92.975435"," 3.00202712","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27056"," 92.998448"," 2.94566628","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27057"," 93.019634"," 2.87886498","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27058"," 93.035905"," 3.06744832","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27059"," 93.053164"," 3.13610311","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27060"," 93.068212"," 3.26593841","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27061"," 93.086331"," 3.19680668","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
