age,d13C,source,assigned location,assigned lat,assigned lon,category,
182.13,4.67,"Suan, G., Mattioli, E., Pittet, B., Lcuyer, C., Suchras-Marx, B., Duarte, L., Philippe, M., Reggiani, L., and Martineau, F. 2010",Casais,39.65,-8.38,Brachiopod calcite,
182.130231,3.78,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.131109,3.91,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.131987,3.91,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.132865,3.84,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.133743,3.84,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.134621,3.83,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.135499,3.78,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.136377,3.71,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.137255,3.68,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.138133,3.7,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.13901,3.62,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.139888,3.62,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.140766,3.64,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.141644,3.67,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.142522,3.61,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.1434,3.53,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.144278,3.6,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.145156,3.65,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.146033,3.74,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.146911,3.87,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.147789,3.84,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.148667,3.78,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.149545,3.68,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.15,4.69,"Suan, G., Mattioli, E., Pittet, B., Lcuyer, C., Suchras-Marx, B., Duarte, L., Philippe, M., Reggiani, L., and Martineau, F. 2010",Casais,39.65,-8.38,Brachiopod calcite,
182.15,4.87,"Suan, G., Mattioli, E., Pittet, B., Lcuyer, C., Suchras-Marx, B., Duarte, L., Philippe, M., Reggiani, L., and Martineau, F. 2010",Casais,39.65,-8.38,Brachiopod calcite,
182.150423,3.64,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.151301,3.59,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.152179,3.55,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.153057,3.73,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.153935,3.9,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.154812,3.8,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.15569,3.75,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.156568,3.65,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.157446,3.58,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.158324,3.53,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.159202,3.52,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.16,2.68,"Bailey, T., Rosenthal, Y., Mcarthur, J., Schootbrugge, B.V.D., and Thirlwall, M. 2003",Bailey 1,48.21,8.81,Belemnite,
182.16,1.75,"Li, Q., Mcarthur, J., and Atkinson, T. 2012",Cleveland Basin (Yorkshire Coast),54.48,-0.59,Belemnite,
182.16,4.08,"Li, Q., Mcarthur, J., and Atkinson, T. 2012",Cleveland Basin (Yorkshire Coast),54.48,-0.59,Belemnite,
182.16,2.47,"Mcarthur, J., Donovan, D., Thirlwall, M., Fouke, B., and Mattey, D. 2000",Cleveland Basin (Yorkshire Coast),54.49,-0.59,Belemnite,
182.16,2.32,"Metodiev, L., and Koleva-Rekalova, E. 2008",Western Balkan Mountains (south of the Moesian PF),43.05,23.38,Belemnite,
182.16,4.44,"Suan, G., Mattioli, E., Pittet, B., Lcuyer, C., Suchras-Marx, B., Duarte, L., Philippe, M., Reggiani, L., and Martineau, F. 2010",Prado,39.64,-8.4,Brachiopod calcite,
182.16008,3.52,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.160958,3.45,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.161836,3.41,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.162713,3.22,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.163591,3.29,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.164469,3.63,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.165347,3.31,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.166225,3.15,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.167103,3.16,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
