age,d13C,source,assigned location,assigned lat,assigned lon,category,
0,1.56,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0,2.2,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-1,2.77,-110.572,Planktonic foraminifera,
0.000564,-0.8,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.002689,0.43,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.003099,-0.07,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.004131,-1.22,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.005134,0.23,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.005617,-0.32,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.005917,0.23,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.007103,-0.52,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.007579,-0.28,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.008589,-0.14,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.01,1.49,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.01,1.6,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.01,1.92,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-1,2.77,-110.572,Planktonic foraminifera,
0.01,1.98,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-1,2.77,-110.572,Planktonic foraminifera,
0.01,2.13,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-1,2.77,-110.572,Planktonic foraminifera,
0.010024,-0.69,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.010076,-0.92,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.011553,-0.72,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.012469,-0.67,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.013048,-1.25,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.014006,-0.69,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.014914,-0.88,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.015196,-0.86,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.015414,-0.52,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.016821,-0.73,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.017359,-0.72,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.017785,-0.98,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.018229,-0.63,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.019636,-0.68,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.019804,-0.59,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.019804,-0.59,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.02,1.41,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.02,1.6,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.02,1.95,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-1,2.77,-110.572,Planktonic foraminifera,
0.02,2,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-1,2.77,-110.572,Planktonic foraminifera,
0.020375,-0.8,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.022249,-0.64,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.022964,-0.85,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.023859,-0.52,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.024626,-0.65,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.024969,-1.03,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.02575,-0.46,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.026585,-0.71,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.026585,-0.7,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.026833,-0.21,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.027694,-0.48,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.0282,-0.75,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.02904,-0.28,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.029815,-0.67,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.03,1.66,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.03,1.98,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-1,2.77,-110.572,Planktonic foraminifera,
0.03,1.98,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-1,2.77,-110.572,Planktonic foraminifera,
0.03,2,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-1,2.77,-110.572,Planktonic foraminifera,
0.031246,-0.62,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.031246,-0.2,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.031431,-0.69,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.031583,-0.19,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.033046,-0.55,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.033453,-0.12,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.033528,0,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.034662,-0.83,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.035472,-0.18,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.036277,-0.73,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.037892,-0.88,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.037892,-0.46,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.039361,-0.32,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.039508,-0.32,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.04,1.58,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.04,1.71,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.04,1.91,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-1,2.77,-110.572,Planktonic foraminifera,
0.04,2.01,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-1,2.77,-110.572,Planktonic foraminifera,
0.040074,-0.45,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.041123,-0.63,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.041306,-0.5,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.042281,-0.04,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.042738,-0.24,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.04325,-0.28,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.04325,-0.22,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.044354,-0.95,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.044487,-0.49,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.045181,-0.54,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.04604,-0.74,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.046625,-0.04,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.046758,0.02,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.047773,-0.75,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.048431,-0.1,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.049049,-0.11,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.049507,-0.31,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.05,1.84,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-1,2.77,-110.572,Planktonic foraminifera,
0.05,1.86,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-1,2.77,-110.572,Planktonic foraminifera,
0.050236,-0.01,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.05124,-1.07,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.051339,-0.4,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.052042,0.15,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.052973,-0.45,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.053629,-0.16,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.053629,-0.15,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.053847,-0.17,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.054707,-0.86,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.055111,-0.53,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.05592,-0.65,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.05644,-0.7,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.057458,-0.55,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.058173,-0.7,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.05821,-0.81,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.059264,-1.25,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.059907,-1.04,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.06,1.57,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.06,1.68,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.06,1.93,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-2,2.77,-110.572,Planktonic foraminifera,
0.0605,-0.95,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.061069,-1,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.061069,-0.67,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.06164,-1.18,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.06279,-0.79,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.062875,-1.06,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.063373,-1.08,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.064681,-0.98,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.065081,-1.01,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.066486,-0.98,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.067371,-0.52,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.067371,-0.46,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.069093,-0.44,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.069432,-0.68,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.07,1.64,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.07,2.2,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-2,2.77,-110.572,Planktonic foraminifera,
0.070097,-0.5,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.070827,-0.9,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.070827,-0.82,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.072533,-0.12,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.072533,0.18,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.072683,-0.6,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.073409,-1.69,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.073409,-1.21,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.0756,0.23,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.076085,-0.09,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.076735,0.12,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.078667,-0.38,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.078761,-0.48,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.08,1.4,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.08,1.53,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.08,2.23,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-2,2.77,-110.572,Planktonic foraminifera,
0.080787,0.16,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.080787,0.2,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.081438,-0.17,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.081733,0.12,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.084114,-0.14,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.0848,-0.14,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.0848,0.13,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.08484,0.28,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.086791,-0.6,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.087867,-0.56,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.088892,-1.18,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.088892,-0.78,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.09,1.39,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.09,1.67,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.09,2.15,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-2,2.77,-110.572,Planktonic foraminifera,
0.090933,-0.59,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.094,-0.3,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.094,-0.18,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.095583,-0.45,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.095856,0.21,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.096118,0.22,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.098055,-0.22,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.098236,0.17,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.1,2.1,"Chaisson, W.P. & Ravelo, A. 1997",Site 925,0.32,159.369,Planktonic foraminifera,
0.1,1.19,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.1,2.15,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-2,2.77,-110.572,Planktonic foraminifera,
0.100526,-0.49,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.102472,0.15,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.102998,-1.65,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.102998,-0.38,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.102998,-0.2,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.103389,0.17,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.105516,-0.11,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.105987,-0.13,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.105987,0,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.108225,-0.9,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.10874,-0.58,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.109195,-0.17,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.11,1.85,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-2,2.77,-110.572,Planktonic foraminifera,
0.11,2.22,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-2,2.77,-110.572,Planktonic foraminifera,
0.110935,-0.39,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.110935,-0.23,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.111493,-1.14,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.111493,-0.14,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.111517,-0.21,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.113645,-0.78,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.113839,-0.73,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.116064,-0.37,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.116193,-0.71,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.116957,-0.18,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.118191,-0.31,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.12,1.45,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.12,1.84,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-2,2.77,-110.572,Planktonic foraminifera,
0.120318,-0.21,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.120395,0.01,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.120963,-0.47,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.122446,-0.08,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.122446,0.09,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.123348,-0.44,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.123521,0.05,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.123521,0.06,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.124573,-0.03,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.125733,-0.07,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.126646,-0.55,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.1267,-0.79,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.127737,-0.12,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.127844,-0.44,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.128822,-0.93,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.128822,-0.14,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.12947,-0.64,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.129643,0,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.13,1.65,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-2,2.77,-110.572,Planktonic foraminifera,
0.130746,-0.74,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.130746,-0.29,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.131443,-0.88,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.13267,-0.84,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.132935,-0.82,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.133242,-1.4,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.134554,-0.82,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.134668,-0.43,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.135041,-1.17,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.136371,-0.4,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.138188,-0.69,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.14,1.48,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.14,1.57,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.14,1.61,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-2,2.77,-110.572,Planktonic foraminifera,
0.14,1.67,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-2,2.77,-110.572,Planktonic foraminifera,
0.14009,-0.72,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.141717,-0.78,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.142062,-0.67,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.14289,-1.53,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.144034,-0.71,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.146006,-1.64,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.146006,-0.79,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.146824,-1.29,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.14715,-0.89,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.147978,-1.48,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.148432,-1.43,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.148961,-1.37,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.149753,-1.06,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.15,1.41,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.15,1.48,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.15,1.66,"Ravelo, AC; Shackleton, NJ 1995",138-851B-1H-2,2.77,-110.572,Planktonic foraminifera,
0.150772,-1.23,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.152934,-1.09,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.153893,-0.87,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.154703,-1.19,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.155865,-0.2,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.156205,-0.82,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.15631,-1.15,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.157837,-0.35,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.158016,-0.46,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.159809,-0.92,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.16,1.76,"Ravelo, AC; Shackleton, NJ 1995",138-851E-1H-3,2.77,-110.572,Planktonic foraminifera,
0.160214,-1.03,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.161781,-0.76,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.161781,-0.12,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.162485,-1.09,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.164911,-1.85,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.167083,-0.18,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.167336,-0.76,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.168899,-0.52,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.169762,-1.19,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.17,1.26,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.17,1.74,"Ravelo, AC; Shackleton, NJ 1995",138-851E-1H-3,2.77,-110.572,Planktonic foraminifera,
0.170714,-0.47,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.172187,-1.15,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.174345,-0.78,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.174613,-1.33,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.176161,-0.44,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.177038,-1.24,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.179464,-1.06,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.179792,-0.22,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.18,1.07,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.18,1.16,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.18,1.78,"Ravelo, AC; Shackleton, NJ 1995",138-851E-1H-3,2.77,-110.572,Planktonic foraminifera,
0.181889,-1.12,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.181889,-0.96,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.185238,-0.74,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.18674,-1.23,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.188869,-0.45,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.19,1.06,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.19,1.14,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.19,1.73,"Ravelo, AC; Shackleton, NJ 1995",138-851E-1H-3,2.77,-110.572,Planktonic foraminifera,
0.190685,-1.22,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.190685,-0.06,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.190916,-0.09,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.191591,-0.72,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.191591,-0.43,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.193629,0.05,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.194017,-0.68,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.1962,-0.49,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.1962,0.05,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.196418,-1.46,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.198682,-1.13,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.198682,-0.39,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.198682,-0.26,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.19888,0.13,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.2,1.2,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.2,1.92,"Ravelo, AC; Shackleton, NJ 1995",138-851E-1H-3,2.77,-110.572,Planktonic foraminifera,
0.201169,-0.98,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.201169,-0.98,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.201169,-0.26,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.201612,-0.06,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.201813,0.04,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.203656,-0.47,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.204747,-0.08,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.207706,0.14,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.208382,0.01,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.21,1.37,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.21,1.39,"Farrell, John W; Janecek, Thomas R 1991",ODP-121/758.,5.384,90.3612,Planktonic foraminifera,
0.21,2.18,"Ravelo, AC; Shackleton, NJ 1995",138-851E-1H-3,2.77,-110.572,Planktonic foraminifera,
0.21,2.26,"Ravelo, AC; Shackleton, NJ 1995",138-851E-1H-3,2.77,-110.572,Planktonic foraminifera,
0.210904,0.19,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.214857,-0.37,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.214857,-0.15,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.217298,0.04,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.217845,-0.17,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
0.218334,-0.06,Bickert et al. 1997,CearaRiseStack,5,-44,bf,
