"age","d13C","source","assigned.location","assigned.lat","assigned.lon","category","X","plng_PALEOMAP","plat_PALEOMAP","validtime_PALEOMAP","plng_MERDITH2021","plat_MERDITH2021","validtime_MERDITH2021","plng_CAO2024","plat_CAO2024","validtime_CAO2024","plng_TorsvikCocks2017","plat_TorsvikCocks2017","validtime_TorsvikCocks2017"
0,1.56,"Farrell, John W; Janecek, Thomas R 1991","ODP-121/758.",5.384,90.3612,"Planktonic foraminifera","",90.3612,5.384,TRUE,90.3612,5.384,TRUE,90.3612,5.384,TRUE,90.3612,5.384,TRUE
0,2.2,"Ravelo, AC; Shackleton, NJ 1995","138-851B-1H-1",2.77,-110.572,"Planktonic foraminifera","",-110.572,2.77,TRUE,-110.572,2.77,TRUE,-110.572,2.77,TRUE,-110.572,2.77,TRUE
0.000564,-0.8,"Bickert et al. 1997","CearaRiseStack",5,-44,"bf","",-43.9999058757638,5.00000894129647,FALSE,-43.9998207248834,4.99980542286781,TRUE,-43.9998207248834,4.99980542286781,TRUE,-43.9999971113267,4.99982658333014,TRUE
0.002689,0.43,"Bickert et al. 1997","CearaRiseStack",5,-44,"bf","",-43.999551240869,5.00004263033618,FALSE,-43.9991452727714,4.9990722985818,TRUE,-43.9991452727714,4.9990722985818,TRUE,-43.9999862284957,4.99917319603944,TRUE
0.003099,-0.07,"Bickert et al. 1997","CearaRiseStack",5,-44,"bf","",-43.9994828171699,5.00004913045634,FALSE,-43.99901495174,4.99893084688398,TRUE,-43.99901495174,4.99893084688398,TRUE,-43.9999841289153,4.99904713072416,TRUE
0.004131,-1.22,"Bickert et al. 1997","CearaRiseStack",5,-44,"bf","",-43.999310589676,5.00006549190222,FALSE,-43.998686926307,4.9985747999823,TRUE,-43.998686926307,4.9985747999823,TRUE,-43.999978844355,4.99872981509743,TRUE
0.005134,0.23,"Bickert et al. 1997","CearaRiseStack",5,-44,"bf","",-43.9991432018585,5.00008139380895,FALSE,-43.9983681215764,4.9982287546699,TRUE,-43.9983681215764,4.9982287546699,TRUE,-43.9999737086204,4.99842141628044,TRUE
0.005617,-0.32,"Bickert et al. 1997","CearaRiseStack",5,-44,"bf","",-43.9990625953445,5.00008905153789,FALSE,-43.9982146004894,4.99806211343638,TRUE,-43.9982146004894,4.99806211343638,TRUE,-43.9999712355946,4.99827290518325,TRUE
0.005917,0.23,"Bickert et al. 1997","CearaRiseStack",5,-44,"bf","",-43.9990125291811,5.00009380791777,FALSE,-43.9981192461145,4.99795860914979,TRUE,-43.9981192461145,4.99795860914979,TRUE,-43.9999696995911,4.99818066226512,TRUE
0.007103,-0.52,"Bickert et al. 1997","CearaRiseStack",5,-44,"bf","",-43.9988146009052,5.00011261167159,FALSE,-43.9977422810188,4.99754941909112,TRUE,-43.9977422810188,4.99754941909112,TRUE,-43.9999636275385,4.99781599525752,TRUE
0.007579,-0.28,"Bickert et al. 1997","CearaRiseStack",5,-44,"bf","",-43.9987351625559,5.00012015862995,FALSE,-43.9975909875643,4.99738518964352,TRUE,-43.9975909875643,4.99738518964352,TRUE,-43.999961190652,4.99766963649017,TRUE
0.008589,-0.14,"Bickert et al. 1997","CearaRiseStack",5,-44,"bf","",-43.998566606358,5.00013617230328,FALSE,-43.9972699678954,4.99703671694669,TRUE,-43.9972699678954,4.99703671694669,TRUE,-43.9999560201868,4.99735908532023,TRUE
0.01,1.49,"Farrell, John W; Janecek, Thomas R 1991","ODP-121/758.",5.384,90.3612,"Planktonic foraminifera","",90.3595119719514,5.37893410394419,FALSE,90.3593438810848,5.3800524148357,TRUE,90.3593438810848,5.3800524148357,TRUE,90.3609542026964,5.38573125443489,TRUE
0.01,1.6,"Farrell, John W; Janecek, Thomas R 1991","ODP-121/758.",5.384,90.3612,"Planktonic foraminifera","",90.3595119719514,5.37893410394419,FALSE,90.3593438810848,5.3800524148357,TRUE,90.3593438810848,5.3800524148357,TRUE,90.3609542026964,5.38573125443489,TRUE
0.01,1.92,"Ravelo, AC; Shackleton, NJ 1995","138-851B-1H-1",2.77,-110.572,"Planktonic foraminifera","",-110.565278596315,2.76772257335436,FALSE,-110.563532599811,2.76967393366195,TRUE,-110.563532599811,2.76967393366195,TRUE,-110.571852253443,2.76931464892449,TRUE
0.01,1.98,"Ravelo, AC; Shackleton, NJ 1995","138-851B-1H-1",2.77,-110.572,"Planktonic foraminifera","",-110.565278596315,2.76772257335436,FALSE,-110.563532599811,2.76967393366195,TRUE,-110.563532599811,2.76967393366195,TRUE,-110.571852253443,2.76931464892449,TRUE
0.01,2.13,"Ravelo, AC; Shackleton, NJ 1995","138-851B-1H-1",2.77,-110.572,"Planktonic foraminifera","",-110.565278596315,2.76772257335436,FALSE,-110.563532599811,2.76967393366195,TRUE,-110.563532599811,2.76967393366195,TRUE,-110.571852253443,2.76931464892449,TRUE
0.010024,-0.69,"Bickert et al. 1997","CearaRiseStack",5,-44,"bf","",-43.9983271229614,5.00015892479916,FALSE,-43.996813870735,4.99654160350337,TRUE,-43.996813870735,4.99654160350337,TRUE,-43.9999486745904,4.99691785666862,TRUE
0.010076,-0.92,"Bickert et al. 1997","CearaRiseStack",5,-44,"bf","",-43.9983184448155,5.00015974928857,FALSE,-43.9967973432835,4.99652366197375,TRUE,-43.9967973432835,4.99652366197375,TRUE,-43.9999484084209,4.99690186789498,TRUE
0.011553,-0.72,"Bickert et al. 1997","CearaRiseStack",5,-44,"bf","",-43.99807195204,5.00018316821347,FALSE,-43.9963279033399,4.99601404953888,TRUE,-43.9963279033399,4.99601404953888,TRUE,-43.9999408485418,4.99644772522241,TRUE
0.012469,-0.67,"Bickert et al. 1997","CearaRiseStack",5,-44,"bf","",-43.9979190830749,5.00019769231658,FALSE,-43.9960367710885,4.99569799625018,TRUE,-43.9960367710885,4.99569799625018,TRUE,-43.9999361604357,4.99616607681581,TRUE
0.013048,-1.25,"Bickert et al. 1997","CearaRiseStack",5,-44,"bf","",-43.9978224551818,5.00020687304268,FALSE,-43.9958527487805,4.99549821868002,TRUE,-43.9958527487805,4.99549821868002,TRUE,-43.9999331972402,4.99598804796266,TRUE
0.014006,-0.69,"Bickert et al. 1997","CearaRiseStack",5,-44,"bf","",-43.9976625768701,5.00022206342565,FALSE,-43.9955482718448,4.99516766873588,TRUE,-43.9955482718448,4.99516766873588,TRUE,-43.9999282946404,4.99569348553856,TRUE
0.014914,-0.88,"Bickert et al. 1997","CearaRiseStack",5,-44,"bf","",-43.9975110428965,5.00023646118219,FALSE,-43.9952596886247,4.99485436788469,TRUE,-43.9952596886247,4.99485436788469,TRUE,-43.9999236481877,4.99541429693175,TRUE
0.015196,-0.86,"Bickert et al. 1997","CearaRiseStack",5,-44,"bf","",-43.9974639805749,5.00024093276996,FALSE,-43.9951700630408,4.99475706460487,TRUE,-43.9951700630408,4.99475706460487,TRUE,-43.9999222051799,4.995327588575,TRUE
0.015414,-0.52,"Bickert et al. 1997","CearaRiseStack",5,-44,"bf","",-43.9974275990613,5.0002443895416,FALSE,-43.9951007781716,4.99468184414644,TRUE,-43.9951007781716,4.99468184414644,TRUE,-43.9999210896806,4.99526055871029,TRUE
0.016821,-0.73,"Bickert et al. 1997","CearaRiseStack",5,-44,"bf","",-43.9971927880434,5.00026670024755,FALSE,-43.9946536080127,4.99419635760924,TRUE,-43.9946536080127,4.99419635760924,TRUE,-43.9999138904696,4.99482793934811,TRUE
0.017359,-0.72,"Bickert et al. 1997","CearaRiseStack",5,-44,"bf","",-43.9971030024261,5.00027523139596,FALSE,-43.9944826233436,4.99401071840762,TRUE,-43.9944826233436,4.99401071840762,TRUE,-43.9999111378465,4.99466251701642,TRUE
0.017785,-0.98,"Bickert et al. 1997","CearaRiseStack",5,-44,"bf","",-43.9970319082284,5.00028198658953,FALSE,-43.994347234586,4.99386372456003,TRUE,-43.994347234586,4.99386372456003,TRUE,-43.9999089583257,4.99453153204638,TRUE
0.018229,-0.63,"Bickert et al. 1997","CearaRiseStack",5,-44,"bf","",-43.9969578100411,5.00028902725736,FALSE,-43.9942061257319,4.99371051902274,TRUE,-43.9942061257319,4.99371051902274,TRUE,-43.999906686774,4.99439501249913,TRUE
0.019636,-0.68,"Bickert et al. 1997","CearaRiseStack",5,-44,"bf","",-43.9967229988298,5.00031133885653,FALSE,-43.9937589669573,4.99322501849871,TRUE,-43.9937589669573,4.99322501849871,TRUE,-43.9998994888264,4.99396239311625,TRUE
0.019804,-0.59,"Bickert et al. 1997","CearaRiseStack",5,-44,"bf","",-43.9966949616638,5.00031400295791,FALSE,-43.993705575245,4.99316704781969,TRUE,-43.993705575245,4.99316704781969,TRUE,-43.9998986294122,4.99391073706984,TRUE
0.019804,-0.59,"Bickert et al. 1997","CearaRiseStack",5,-44,"bf","",-43.9966949616638,5.00031400295791,FALSE,-43.993705575245,4.99316704781969,TRUE,-43.993705575245,4.99316704781969,TRUE,-43.9998986294122,4.99391073706984,TRUE
0.02,1.41,"Farrell, John W; Janecek, Thomas R 1991","ODP-121/758.",5.384,90.3612,"Planktonic foraminifera","",90.3578233941513,5.37386832571118,FALSE,90.3574880665838,5.37610470050709,TRUE,90.3574880665838,5.37610470050709,TRUE,90.3607083252004,5.3874624976813,TRUE
0.02,1.6,"Farrell, John W; Janecek, Thomas R 1991","ODP-121/758.",5.384,90.3612,"Planktonic foraminifera","",90.3578233941513,5.37386832571118,FALSE,90.3574880665838,5.37610470050709,TRUE,90.3574880665838,5.37610470050709,TRUE,90.3607083252004,5.3874624976813,TRUE
